"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"PG Electroplast Ltd","PGEL","533581","Technology","714056470.4","723102000","2.89","937328","135753","16.94","/mutual-fund/holding-history/182450/1031/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","699966360","590377000","2.36","89424","","","/mutual-fund/holding-history/182450/853/"
"Acutaas Chemicals Ltd","ACUTAAS","543349","Basic Materials","488121798.4","525034000","2.1","446344","-30428","-6.38","/mutual-fund/holding-history/182450/644637/"
"BSE Ltd","BSE","","Financial Services","510407422.8","505980000","2.02","189222","-36840","-16.3","/mutual-fund/holding-history/182450/52884/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","528928873","500786000","2","31097","","","/mutual-fund/holding-history/182450/1263/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","512355750.45","456987000","1.82","2061379","","","/mutual-fund/holding-history/182450/721/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","469656517","454633000","1.82","179498","","","/mutual-fund/holding-history/182450/1090/"
"Mazagon Dock Shipbuilders Ltd","MAZDOCK","543237","Industrials","383591580","421471000","1.68","121175","-15577","-11.39","/mutual-fund/holding-history/182450/305195/"
"Kirloskar Pneumatic Co Ltd","","505283","Industrials","451171640","417475000","1.67","332968","","","/mutual-fund/holding-history/182450/2214/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","467598425","411754000","1.64","381713","82620","27.62","/mutual-fund/holding-history/182450/1253626/"
"Bharat Dynamics Ltd Ordinary Shares","BDL","541143","Industrials","367104608","391896000","1.56","194441","-662","-0.34","/mutual-fund/holding-history/182450/80210/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","393591703.2","391793000","1.56","233544","-3867","-1.63","/mutual-fund/holding-history/182450/1316/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","406775279.25","388274000","1.55","694215","-12406","-1.76","/mutual-fund/holding-history/182450/77534/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","464316644.4","377162000","1.51","257396","","","/mutual-fund/holding-history/182450/1527/"
"Welspun Corp Ltd","WELCORP","532144","Basic Materials","366834874.5","375176000","1.5","401022","","","/mutual-fund/holding-history/182450/1514/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","371122143.41","364714000","1.46","1804981","","","/mutual-fund/holding-history/182450/412/"
"VA Tech Wabag Ltd","WABAG","533269","Industrials","348087834","363652000","1.45","223305","","","/mutual-fund/holding-history/182450/1507/"
"Deepak Fertilisers & Petrochemicals Corp Ltd","DEEPAKFERT","500645","Basic Materials","384672812.5","362950000","1.45","244625","","","/mutual-fund/holding-history/182450/317/"
"Exide Industries Ltd","EXIDEIND","500086","Consumer Cyclical","353016058.5","355358000","1.42","918595","57699","6.7","/mutual-fund/holding-history/182450/404/"
"Techno Electric & Engineering Co Ltd","TECHNOE","542141","Industrials","373768273.6","354435000","1.42","251408","","","/mutual-fund/holding-history/182450/118204/"
"KPIT Technologies Ltd","KPITTECH","542651","Technology","365037057","347380000","1.39","259665","10728","4.31","/mutual-fund/holding-history/182450/141324/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","338101686","347054000","1.39","23622","-843","-3.45","/mutual-fund/holding-history/182450/60393/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","346790661.7","340854000","1.36","326207","32599","11.1","/mutual-fund/holding-history/182450/4826/"
"Saregama India Ltd","SAREGAMA","532163","Communication Services","338930826","338650000","1.35","624182","","","/mutual-fund/holding-history/182450/1185/"
"Apar Industries Ltd","APARINDS","532259","Industrials","320445830","336082000","1.34","41420","","","/mutual-fund/holding-history/182450/88/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","333712734.45","336021000","1.34","491079","","","/mutual-fund/holding-history/182450/555690/"
"Transrail Lighting Ltd","TRANSRAILL","544317","Industrials","352908712","333069000","1.33","547315","","","/mutual-fund/holding-history/182450/2854411/"
"Home First Finance Co India Ltd ---","HOMEFIRST","543259","Financial Services","330798141.8","330021000","1.32","258881","","","/mutual-fund/holding-history/182450/407835/"
"Inox Wind Ltd","INOXWIND","539083","Industrials","288120711.55","325607000","1.3","1669781","40695","2.5","/mutual-fund/holding-history/182450/1627/"
"Cholamandalam Investment and Finance Co Ltd","CHOLAFIN","511243","Financial Services","313218171","320096000","1.28","199935","","","/mutual-fund/holding-history/182450/262/"
"Paradeep Phosphates Ltd","PARADEEP","543530","Basic Materials","315711157.3","316759000","1.26","1838630","-216436","-10.53","/mutual-fund/holding-history/182450/895889/"
"NCC Ltd","NCC","500294","Industrials","310874850.8","313437000","1.25","1355756","1876","0.14","/mutual-fund/holding-history/182450/918/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","320890536","309998000","1.24","184930","","","/mutual-fund/holding-history/182450/665/"
"City Union Bank Ltd","CUB","532210","Financial Services","309141323.76","309806000","1.24","1583067","","","/mutual-fund/holding-history/182450/295/"
"Neogen Chemicals Ltd","NEOGEN","542665","Basic Materials","299745823","306981000","1.23","182705","","","/mutual-fund/holding-history/182450/141845/"
"KSB Ltd","KSB","500249","Industrials","294934228","305550000","1.22","361085","","","/mutual-fund/holding-history/182450/768/"
"Arvind Ltd","ARVIND","500101","Consumer Cyclical","295179061.35","304759000","1.22","851519","","","/mutual-fund/holding-history/182450/105/"
"Premier Energies Ltd","PREMIERENE","544238","Technology","294358428","303066000","1.21","285480","35429","14.17","/mutual-fund/holding-history/182450/2571009/"
"ZF Commercial Vehicle Control Systems India Ltd","ZFCVINDIA","533023","Consumer Cyclical","302024450","302999000","1.21","22666","3239","16.67","/mutual-fund/holding-history/182450/1508/"
"Gulf Oil Lubricants India Ltd","GULFOILLUB","538567","Basic Materials","311013595.5","302769000","1.21","255243","","","/mutual-fund/holding-history/182450/518/"
"Birla Corp Ltd","BIRLACORPN","500335","Basic Materials","298954179","302342000","1.21","219981","","","/mutual-fund/holding-history/182450/198/"
"PTC Industries Ltd","PTCIL","539006","Industrials","299659696","300840000","1.2","19664","","","/mutual-fund/holding-history/182450/4156/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","326880466","300581000","1.2","54676","","","/mutual-fund/holding-history/182450/683/"
"One97 Communications Ltd","PAYTM","543396","Technology","294343906.2","298739000","1.19","335492","","","/mutual-fund/holding-history/182450/712312/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","340791024.2","296675000","1.18","136202","","","/mutual-fund/holding-history/182450/253/"
"Zaggle Prepaid Ocean Services Ltd","ZAGGLE","543985","Technology","292685243.4","294452000","1.18","679636","","","/mutual-fund/holding-history/182450/1690561/"
"Sumitomo Chemical India Ltd Ordinary Shares","SUMICHEM","542920","Basic Materials","282765569.1","289536000","1.16","571359","","","/mutual-fund/holding-history/182450/182906/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","314235691.2","287430000","1.15","187581","","","/mutual-fund/holding-history/182450/209/"
"Jyoti CNC Automation Ltd","JYOTICNC","544081","Industrials","250927992.7","286106000","1.14","220829","-5961","-2.63","/mutual-fund/holding-history/182450/1873481/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","271801477.35","282968000","1.13","312793","-16249","-4.94","/mutual-fund/holding-history/182450/745/"
"Cohance Lifesciences Ltd","COHANCE","543064","Healthcare","251554200","265278000","1.06","253200","","","/mutual-fund/holding-history/182450/191143/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","285373235.2","263366000","1.05","149504","","","/mutual-fund/holding-history/182450/710819/"
"CarTrade Tech Ltd","CARTRADE","543333","Consumer Cyclical","284548320","263038000","1.05","169374","","","/mutual-fund/holding-history/182450/621767/"
"Nippon Life India Asset Management Ltd Ordinary Shares","NAM-INDIA","540767","Financial Services","262720549.8","261047000","1.04","352314","","","/mutual-fund/holding-history/182450/64356/"
