"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","2734387597.5","2608598000","4.21","425685","4578","1.09","/mutual-fund/holding-history/137666/853/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","2322137886.5","2000972000","3.23","1043423","11221","1.09","/mutual-fund/holding-history/137666/253/"
"BSE Ltd","BSE","","Financial Services","734056592","1941708000","3.13","305348","3284","1.09","/mutual-fund/holding-history/137666/52884/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","1813883853.6","1818452000","2.93","2768443","185849","7.2","/mutual-fund/holding-history/137666/555690/"
"Global Health Ltd","MEDANTA","543654","Healthcare","1816163236.4","1797842000","2.9","1501706","278188","22.74","/mutual-fund/holding-history/137666/1108489/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","1621933517.25","1534265000","2.47","12949569","824106","6.8","/mutual-fund/holding-history/137666/2839786/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","1535645139","1512201000","2.44","811223","811223","New","/mutual-fund/holding-history/137666/1424/"
"360 One Wam Ltd Ordinary Shares","360ONE","542772","Financial Services","1503681978.4","1471084000","2.37","1491896","16044","1.09","/mutual-fund/holding-history/137666/166089/"
"Mrs Bectors Food Specialities Ltd Ordinary Shares","BECTORFOOD","543253","Consumer Defensive","1405172160","1392372000","2.25","934290","10048","1.09","/mutual-fund/holding-history/137666/369403/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","1490050195.2","1341838000","2.16","1016544","10932","1.09","/mutual-fund/holding-history/137666/53219/"
"Jyoti CNC Automation Ltd","JYOTICNC","544081","Industrials","1478622857","1285333000","2.07","1193882","12840","1.09","/mutual-fund/holding-history/137666/1873481/"
"ICICI Bank Ltd","ICICIBANK","532174","Financial Services","1288667187.2","1271383000","2.05","890948","9582","1.09","/mutual-fund/holding-history/137666/584/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","1302550070.2","1245517000","2.01","1210886","561341","86.42","/mutual-fund/holding-history/137666/219/"
"Sonata Software Ltd","SONATSOFTW","532221","Technology","1169808663.75","1228992000","1.98","2915411","2915411","New","/mutual-fund/holding-history/137666/1267/"
"Sai Life Sciences Ltd","SAILIFE","544306","Healthcare","1277235536.45","1222245000","1.97","1754083","432626","32.74","/mutual-fund/holding-history/137666/2840733/"
"PG Electroplast Ltd","PGEL","533581","Technology","1105822658.4","1220133000","1.97","1445142","-90646","-5.9","/mutual-fund/holding-history/137666/1031/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","1266461545.18","1216448000","1.96","5575687","1456763","35.37","/mutual-fund/holding-history/137666/721/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","1167470835.55","1153796000","1.86","3646637","1472288","67.71","/mutual-fund/holding-history/137666/2755533/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","1323793322","1111628000","1.79","76511","823","1.09","/mutual-fund/holding-history/137666/202203/"
"Cohance Lifesciences Ltd","COHANCE","543064","Healthcare","1023071940","1068260000","1.72","939460","4420","0.47","/mutual-fund/holding-history/137666/191143/"
"BEML Ltd","BEML","500048","Industrials","1319883379.2","964995000","1.56","304992","3280","1.09","/mutual-fund/holding-history/137666/176/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","999465496.2","958727000","1.55","739359","7951","1.09","/mutual-fund/holding-history/137666/1527/"
"Angel One Ltd Ordinary Shares","ANGELONE","543235","Financial Services","1229965205.7","943957000","1.52","408233","218067","114.67","/mutual-fund/holding-history/137666/300864/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","979754610","943190000","1.52","164113","1765","1.09","/mutual-fund/holding-history/137666/1124672/"
"Triveni Turbine Ltd","TRITURBINE","533655","Industrials","1088030580","933893000","1.51","1795430","19309","1.09","/mutual-fund/holding-history/137666/1418/"
"Safari Industries (India) Ltd","SAFARI","523025","Consumer Cyclical","992828040","863222000","1.39","430728","87689","25.56","/mutual-fund/holding-history/137666/2912/"
"Ethos Ltd","ETHOSLTD","543532","Consumer Cyclical","943783716.9","846698000","1.37","342211","3680","1.09","/mutual-fund/holding-history/137666/877860/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","860379904.2","839748000","1.35","497157","5347","1.09","/mutual-fund/holding-history/137666/2170198/"
"Home First Finance Co India Ltd ---","HOMEFIRST","543259","Financial Services","803579572.8","826506000","1.33","672339","7231","1.09","/mutual-fund/holding-history/137666/407835/"
"Five-Star Business Finance Ltd","FIVESTAR","543663","Financial Services","803568494","803512000","1.3","1138199","12241","1.09","/mutual-fund/holding-history/137666/1114733/"
"KEI Industries Ltd","KEI","517569","Industrials","903845409.6","783626000","1.26","255786","2751","1.09","/mutual-fund/holding-history/137666/729/"
