"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","3057959725","3028133000","4.44","568130","568130","New","/mutual-fund/holding-history/137666/1784/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","3332049337.5","2810372000","4.12","425685","","","/mutual-fund/holding-history/137666/853/"
"BSE Ltd","BSE","","Financial Services","2470937085.6","2449502000","3.59","916044","","","/mutual-fund/holding-history/137666/52884/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","2307450079.8","2323409000","3.41","3395556","627113","22.65","/mutual-fund/holding-history/137666/555690/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","2610748688.3","2272784000","3.33","1043423","","","/mutual-fund/holding-history/137666/253/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","2195664264.25","2025948000","2.97","6083015","2436378","66.81","/mutual-fund/holding-history/137666/2755533/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","2161851101.4","2021367000","2.96","1083146","271923","33.52","/mutual-fund/holding-history/137666/1424/"
"Global Health Ltd","MEDANTA","543654","Healthcare","1872635421.6","1828020000","2.68","1538478","36772","2.45","/mutual-fund/holding-history/137666/1108489/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","1616753689.65","1614293000","2.37","12949569","","","/mutual-fund/holding-history/137666/2839786/"
"Jyoti CNC Automation Ltd","JYOTICNC","544081","Industrials","1388926761.2","1583643000","2.32","1222324","28442","2.38","/mutual-fund/holding-history/137666/1873481/"
"360 One Wam Ltd Ordinary Shares","360ONE","542772","Financial Services","1744921561.6","1488092000","2.18","1491896","","","/mutual-fund/holding-history/137666/166089/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","1519596644.8","1390623000","2.04","1270672","59786","4.94","/mutual-fund/holding-history/137666/219/"
"Sai Life Sciences Ltd","SAILIFE","544306","Healthcare","1338803849.75","1327753000","1.95","1754083","","","/mutual-fund/holding-history/137666/2840733/"
"Sonata Software Ltd","SONATSOFTW","532221","Technology","1354854840.35","1303548000","1.91","3186769","271358","9.31","/mutual-fund/holding-history/137666/1267/"
"BEML Ltd","BEML","500048","Industrials","1335864960","1290147000","1.89","304992","","","/mutual-fund/holding-history/137666/176/"
"L&T Finance Ltd","LTF","533519","Financial Services","1426978847.56","1275317000","1.87","7445366","7445366","New","/mutual-fund/holding-history/137666/777/"
"Angel One Ltd Ordinary Shares","ANGELONE","543235","Financial Services","1196326806.5","1239232000","1.82","408233","","","/mutual-fund/holding-history/137666/300864/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","1385837003.85","1236074000","1.81","5575687","","","/mutual-fund/holding-history/137666/721/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","1106989587.5","1182635000","1.73","197765","33652","20.51","/mutual-fund/holding-history/137666/1124672/"
"Mrs Bectors Food Specialities Ltd Ordinary Shares","BECTORFOOD","543253","Consumer Defensive","1124169854.1","1181840000","1.73","809979","-124311","-13.31","/mutual-fund/holding-history/137666/369403/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","1333729700.1","1083383000","1.59","739359","","","/mutual-fund/holding-history/137666/1527/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","1177747648.2","1070724000","1.57","699957","-316587","-31.14","/mutual-fund/holding-history/137666/53219/"
