"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","3470822647.5","3807327000","5.13","425685","","","/mutual-fund/holding-history/137666/853/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","3384350410","3395429000","4.57","568130","","","/mutual-fund/holding-history/137666/1784/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","2230838374","2541570000","3.42","1043423","","","/mutual-fund/holding-history/137666/253/"
"BSE Ltd","BSE","","Financial Services","2334996156","2537533000","3.42","916044","","","/mutual-fund/holding-history/137666/52884/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","2542700270","2435639000","3.28","6083015","","","/mutual-fund/holding-history/137666/2755533/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","2284246599.4","2346094000","3.16","1083146","","","/mutual-fund/holding-history/137666/1424/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","2553458112","2287247000","3.08","3395556","","","/mutual-fund/holding-history/137666/555690/"
"Sai Life Sciences Ltd","SAILIFE","544306","Healthcare","2313721303.8","2217263000","2.99","2866532","1112449","63.42","/mutual-fund/holding-history/137666/2840733/"
"Global Health Ltd","MEDANTA","543654","Healthcare","2041344438","1794741000","2.42","1578766","40288","2.62","/mutual-fund/holding-history/137666/1108489/"
"360 One Wam Ltd Ordinary Shares","360ONE","542772","Financial Services","1708071730.4","1782070000","2.4","1491896","","","/mutual-fund/holding-history/137666/166089/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","1835471910.06","1734983000","2.34","12949569","","","/mutual-fund/holding-history/137666/2839786/"
"L&T Finance Ltd","LTF","533519","Financial Services","1553996791.52","1533820000","2.07","7445366","","","/mutual-fund/holding-history/137666/777/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","1531889071.3","1515967000","2.04","5666318","90631","1.63","/mutual-fund/holding-history/137666/721/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","1407982598","1483176000","2","243343","45578","23.05","/mutual-fund/holding-history/137666/1124672/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","1381347531.2","1410192000","1.9","1270672","","","/mutual-fund/holding-history/137666/219/"
"Sonata Software Ltd","SONATSOFTW","532221","Technology","1446462295.5","1378231000","1.86","3361130","174361","5.47","/mutual-fund/holding-history/137666/1267/"
"BEML Ltd","BEML","500048","Industrials","1323665280","1359471000","1.83","304992","","","/mutual-fund/holding-history/137666/176/"
"Jyoti CNC Automation Ltd","JYOTICNC","544081","Industrials","1291996468","1294441000","1.74","1222324","","","/mutual-fund/holding-history/137666/1873481/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","1260607095","1267261000","1.71","739359","","","/mutual-fund/holding-history/137666/1527/"
"Angel One Ltd Ordinary Shares","ANGELONE","543235","Financial Services","1149380011.5","1193183000","1.61","408233","","","/mutual-fund/holding-history/137666/300864/"
"Go Digit General Insurance Ltd","GODIGIT","544179","Financial Services","1162775304","1182483000","1.59","3284676","351588","11.99","/mutual-fund/holding-history/137666/2266638/"
"Mrs Bectors Food Specialities Ltd Ordinary Shares","BECTORFOOD","543253","Consumer Defensive","1252632523.5","1106917000","1.49","809979","","","/mutual-fund/holding-history/137666/369403/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","1053008285","1101514000","1.48","613999","-85958","-12.28","/mutual-fund/holding-history/137666/53219/"
"Triveni Turbine Ltd","TRITURBINE","533655","Industrials","1184983800","1099611000","1.48","1795430","","","/mutual-fund/holding-history/137666/1418/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","1097351222.5","1096518000","1.48","151411","151411","New","/mutual-fund/holding-history/137666/93/"
"Schloss Bangalore Ltd","THELEELA","544408","Consumer Cyclical","1161239400","1045503000","1.41","2580532","524030","25.48","/mutual-fund/holding-history/137666/3110331/"
"Apar Industries Ltd","APARINDS","532259","Industrials","1086318840","1027585000","1.38","117822","","","/mutual-fund/holding-history/137666/88/"
"Hexaware Technologies Ltd Ordinary Shares","HEXT","544362","Technology","1006518471","994302000","1.34","1169011","387389","49.56","/mutual-fund/holding-history/137666/2974675/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","899605591.5","970798000","1.31","497157","","","/mutual-fund/holding-history/137666/2170198/"
"KEI Industries Ltd","KEI","517569","Industrials","1018284066","970094000","1.31","255786","","","/mutual-fund/holding-history/137666/729/"
"Safari Industries (India) Ltd","SAFARI","523025","Consumer Cyclical","921844065.6","929511000","1.25","430728","","","/mutual-fund/holding-history/137666/2912/"
"Home First Finance Co India Ltd ---","HOMEFIRST","543259","Financial Services","937240566","926819000","1.25","672339","","","/mutual-fund/holding-history/137666/407835/"
"Ethos Ltd","ETHOSLTD","543532","Consumer Cyclical","1015640640","912626000","1.23","345456","","","/mutual-fund/holding-history/137666/877860/"
"Cohance Lifesciences Ltd","COHANCE","543064","Healthcare","1000618846","909303000","1.22","939460","","","/mutual-fund/holding-history/137666/191143/"
"Ather Energy Ltd","ATHERENERG","544397","Consumer Cyclical","905701248","893733000","1.2","2689536","","","/mutual-fund/holding-history/137666/3080909/"
"Five-Star Business Finance Ltd","FIVESTAR","543663","Financial Services","823828436.2","878462000","1.18","1138199","","","/mutual-fund/holding-history/137666/1114733/"
"Anand Rathi Wealth Ltd","ANANDRATHI","543415","Financial Services","1054908803.4","861226000","1.16","398771","","","/mutual-fund/holding-history/137666/747241/"
"Dr Agarwal’s Health Care Ltd","AGARWALEYE","544350","Healthcare","925659000","832682000","1.12","2057020","2057020","New","/mutual-fund/holding-history/137666/2949904/"
"Afcons Infrastructure Ltd","AFCONS","544280","Industrials","777782463.15","795978000","1.07","1819587","","","/mutual-fund/holding-history/137666/2734936/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","827853936","781776000","1.05","646256","","","/mutual-fund/holding-history/137666/100478/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","747408138","737817000","0.99","764221","","","/mutual-fund/holding-history/137666/238/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","741610870","736915000","0.99","438823","","","/mutual-fund/holding-history/137666/665/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","716171750","718261000","0.97","3370220","3370220","New","/mutual-fund/holding-history/137666/412/"
"Craftsman Automation Ltd","CRAFTSMAN","543276","Consumer Cyclical","793181400","669457000","0.9","120179","","","/mutual-fund/holding-history/137666/445359/"
"JK Lakshmi Cement Ltd","JKLAKSHMI","500380","Basic Materials","750900036.1","668776000","0.9","743539","","","/mutual-fund/holding-history/137666/685/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","700698619.2","655884000","0.88","770676","","","/mutual-fund/holding-history/137666/745/"
"ZF Commercial Vehicle Control Systems India Ltd","ZFCVINDIA","533023","Consumer Cyclical","629087205","642374000","0.87","47967","","","/mutual-fund/holding-history/137666/1508/"
"TVS Motor Co Ltd","TVSMOTOR","532343","Consumer Cyclical","586449787","611820000","0.82","209671","","","/mutual-fund/holding-history/137666/1430/"
"Concord Biotech Ltd","CONCORDBIO","543960","Healthcare","626706314","607423000","0.82","330193","","","/mutual-fund/holding-history/137666/1587026/"
"Awfis Space Solutions Ltd","AWFIS","544181","Industrials","571647718.4","576899000","0.78","897688","","","/mutual-fund/holding-history/137666/2278178/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","517747824","542128000","0.73","184976","","","/mutual-fund/holding-history/137666/1114/"
