"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Sai Life Sciences Ltd","SAILIFE","544306","Healthcare","3532808763","3128258000","4.13","3869451","1002919","34.99","https://trendlyne.com/mutual-fund/holding-history/137666/2840733/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","3112098920","3076064000","4.06","4094867","699311","20.59","https://trendlyne.com/mutual-fund/holding-history/137666/555690/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","2836391539.5","2653093000","3.5","344871","-80814","-18.98","https://trendlyne.com/mutual-fund/holding-history/137666/853/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","2562774219.5","2456017000","3.24","6083015","","","https://trendlyne.com/mutual-fund/holding-history/137666/2755533/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","2392445874","2297222000","3.03","388668","-179462","-31.59","https://trendlyne.com/mutual-fund/holding-history/137666/1784/"
"JK Lakshmi Cement Ltd","JKLAKSHMI","500380","Basic Materials","2195147416.95","2268237000","2.99","2335139","1591600","214.06","https://trendlyne.com/mutual-fund/holding-history/137666/685/"
"BSE Ltd","BSE","","Financial Services","2310262968","2223605000","2.93","916044","","","https://trendlyne.com/mutual-fund/holding-history/137666/52884/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","2093619585.2","2126288000","2.8","8066344","2400026","42.36","https://trendlyne.com/mutual-fund/holding-history/137666/721/"
"Global Health Ltd","MEDANTA","543654","Healthcare","2175855301.2","2070078000","2.73","1578766","","","https://trendlyne.com/mutual-fund/holding-history/137666/1108489/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","2016817852","2044655000","2.7","1083146","","","https://trendlyne.com/mutual-fund/holding-history/137666/1424/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","1888595630","1966539000","2.59","1043423","","","https://trendlyne.com/mutual-fund/holding-history/137666/253/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","1942564845.69","1806983000","2.38","12949569","","","https://trendlyne.com/mutual-fund/holding-history/137666/2839786/"
"Go Digit General Insurance Ltd","GODIGIT","544179","Financial Services","1578928669.5","1622556000","2.14","4384695","1100019","33.49","https://trendlyne.com/mutual-fund/holding-history/137666/2266638/"
"Delhivery Ltd","DELHIVERY","543529","Industrials","1731140429.4","1565981000","2.07","3682494","3682494","New","https://trendlyne.com/mutual-fund/holding-history/137666/888524/"
"L&T Finance Ltd","LTF","533519","Financial Services","1611177202.4","1508357000","1.99","7445366","","","https://trendlyne.com/mutual-fund/holding-history/137666/777/"
"Kaynes Technology India Ltd","KAYNES","543664","Industrials","1510308329.5","1501913000","1.98","243343","","","https://trendlyne.com/mutual-fund/holding-history/137666/1124672/"
"Sonata Software Ltd","SONATSOFTW","532221","Technology","1415831256","1491761000","1.97","3805998","444868","13.24","https://trendlyne.com/mutual-fund/holding-history/137666/1267/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","1349485545.6","1423798000","1.88","1412778","142106","11.18","https://trendlyne.com/mutual-fund/holding-history/137666/219/"
"360 One Wam Ltd Ordinary Shares","360ONE","542772","Financial Services","1412250498","1350296000","1.78","1282698","-209198","-14.02","https://trendlyne.com/mutual-fund/holding-history/137666/166089/"
"Jyoti CNC Automation Ltd","JYOTICNC","544081","Industrials","1160963335.2","1246770000","1.64","1222324","","","https://trendlyne.com/mutual-fund/holding-history/137666/1873481/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","1097948115","1232881000","1.63","739359","","","https://trendlyne.com/mutual-fund/holding-history/137666/1527/"
"Mrs Bectors Food Specialities Ltd Ordinary Shares","BECTORFOOD","543253","Consumer Defensive","1113721125","1224121000","1.61","809979","","","https://trendlyne.com/mutual-fund/holding-history/137666/369403/"
"BEML Ltd","BEML","500048","Industrials","1247112288","1207982000","1.59","304992","","","https://trendlyne.com/mutual-fund/holding-history/137666/176/"
"Zensar Technologies Ltd","ZENSARTECH","504067","Technology","1197028752","1182579000","1.56","1466947","1141947","351.37","https://trendlyne.com/mutual-fund/holding-history/137666/1544/"
"Dr Agarwal’s Health Care Ltd","AGARWALEYE","544350","Healthcare","1140568664","1152807000","1.52","2523382","466362","22.67","https://trendlyne.com/mutual-fund/holding-history/137666/2949904/"
"Trent Ltd","TRENT","500251","Consumer Cyclical","1246498854","1146222000","1.51","228422","228422","New","https://trendlyne.com/mutual-fund/holding-history/137666/1412/"
"Schloss Bangalore Ltd","THELEELA","544408","Consumer Cyclical","1197615188","1141874000","1.51","2759482","178950","6.93","https://trendlyne.com/mutual-fund/holding-history/137666/3110331/"
"Apollo Hospitals Enterprise Ltd","APOLLOHOSP","508869","Healthcare","1192513036","1135280000","1.5","151411","","","https://trendlyne.com/mutual-fund/holding-history/137666/93/"
"Triveni Turbine Ltd","TRITURBINE","533655","Industrials","956964190","1076001000","1.42","1795430","","","https://trendlyne.com/mutual-fund/holding-history/137666/1418/"
"Angel One Ltd Ordinary Shares","ANGELONE","543235","Financial Services","1108311771.7","1061773000","1.4","408233","","","https://trendlyne.com/mutual-fund/holding-history/137666/300864/"
"Anand Rathi Wealth Ltd","ANANDRATHI","543415","Financial Services","1114006665.6","1054989000","1.39","398771","","","https://trendlyne.com/mutual-fund/holding-history/137666/747241/"
"Apar Industries Ltd","APARINDS","532259","Industrials","981928548","1049499000","1.38","117822","","","https://trendlyne.com/mutual-fund/holding-history/137666/88/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","1026617572.32","1043055000","1.38","5152668","1782448","52.89","https://trendlyne.com/mutual-fund/holding-history/137666/412/"
"Ethos Ltd","ETHOSLTD","543532","Consumer Cyclical","953417275","1042264000","1.37","377591","32135","9.3","https://trendlyne.com/mutual-fund/holding-history/137666/877860/"
"Ather Energy Ltd","ATHERENERG","544397","Consumer Cyclical","1119115929.6","942279000","1.24","2689536","","","https://trendlyne.com/mutual-fund/holding-history/137666/3080909/"
"Cohance Lifesciences Ltd","COHANCE","543064","Healthcare","840581835","938004000","1.24","939460","","","https://trendlyne.com/mutual-fund/holding-history/137666/191143/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","972328816.4","909210000","1.2","613999","","","https://trendlyne.com/mutual-fund/holding-history/137666/53219/"
"Safari Industries (India) Ltd","SAFARI","523025","Consumer Cyclical","867916920","903753000","1.19","430728","","","https://trendlyne.com/mutual-fund/holding-history/137666/2912/"
"Hexaware Technologies Ltd Ordinary Shares","HEXT","544362","Technology","905983525","822984000","1.09","1169011","","","https://trendlyne.com/mutual-fund/holding-history/137666/2974675/"
"Craftsman Automation Ltd","CRAFTSMAN","543276","Consumer Cyclical","838169760","822576000","1.09","121827","1648","1.37","https://trendlyne.com/mutual-fund/holding-history/137666/445359/"
"Home First Finance Co India Ltd ---","HOMEFIRST","543259","Financial Services","847147140","814875000","1.07","672339","","","https://trendlyne.com/mutual-fund/holding-history/137666/407835/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","885370720","806721000","1.06","646256","","","https://trendlyne.com/mutual-fund/holding-history/137666/100478/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","759163790","776410000","1.02","438823","","","https://trendlyne.com/mutual-fund/holding-history/137666/665/"
"Afcons Infrastructure Ltd","AFCONS","544280","Industrials","782422410","726470000","0.96","1819587","","","https://trendlyne.com/mutual-fund/holding-history/137666/2734936/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","756769845.25","711184000","0.94","764221","","","https://trendlyne.com/mutual-fund/holding-history/137666/238/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","739848960","696845000","0.92","770676","","","https://trendlyne.com/mutual-fund/holding-history/137666/745/"
"Five-Star Business Finance Ltd","FIVESTAR","543663","Financial Services","660269239.9","675863000","0.89","1138199","","","https://trendlyne.com/mutual-fund/holding-history/137666/1114733/"
"ZF Commercial Vehicle Control Systems India Ltd","ZFCVINDIA","533023","Consumer Cyclical","702716550","632493000","0.83","47967","","","https://trendlyne.com/mutual-fund/holding-history/137666/1508/"
"Phoenix Mills Ltd","PHOENIXLTD","503100","Real Estate","634724594.1","603918000","0.8","406953","120767","42.2","https://trendlyne.com/mutual-fund/holding-history/137666/1036/"
"Concord Biotech Ltd","CONCORDBIO","543960","Healthcare","560007328","583550000","0.77","330193","","","https://trendlyne.com/mutual-fund/holding-history/137666/1587026/"
"Innova Captab Ltd","INNOVACAP","544067","Healthcare","567000900","572891000","0.76","630001","","","https://trendlyne.com/mutual-fund/holding-history/137666/1842149/"
"Entero Healthcare Solutions Ltd","ENTERO","544122","Healthcare","551388116.7","572433000","0.76","444919","","","https://trendlyne.com/mutual-fund/holding-history/137666/2014175/"
"Awfis Space Solutions Ltd","AWFIS","544181","Industrials","525371902","534483000","0.71","897688","","","https://trendlyne.com/mutual-fund/holding-history/137666/2278178/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","442740056","489946000","0.65","184976","","","https://trendlyne.com/mutual-fund/holding-history/137666/1114/"
"Birlasoft Ltd","BSOFT","532400","Technology","461702139.8","471518000","0.62","1204388","","","https://trendlyne.com/mutual-fund/holding-history/137666/763/"
"Ingersoll-Rand (India) Ltd","INGERRAND","500210","Industrials","358464315","369244000","0.49","95565","","","https://trendlyne.com/mutual-fund/holding-history/137666/631/"
"Birla Corp Ltd","BIRLACORPN","500335","Basic Materials","333326710.2","353659000","0.47","261679","","","https://trendlyne.com/mutual-fund/holding-history/137666/198/"
"Neogen Chemicals Ltd","NEOGEN","542665","Basic Materials","318207890","343041000","0.45","222523","","","https://trendlyne.com/mutual-fund/holding-history/137666/141845/"
"Can Fin Homes Ltd","CANFINHOME","511196","Financial Services","351479515.7","338796000","0.45","450557","","","https://trendlyne.com/mutual-fund/holding-history/137666/234/"
"Orchid Pharma Ltd","ORCHPHARMA","524372","Healthcare","345233546.35","337017000","0.44","455183","","","https://trendlyne.com/mutual-fund/holding-history/137666/980/"
"Laxmi Dental Ltd","LAXMIDENTL","544339","Healthcare","269238493","325593000","0.43","771457","-382385","-33.14","https://trendlyne.com/mutual-fund/holding-history/137666/2916661/"
"Senco Gold Ltd","SENCO","543936","Consumer Cyclical","368884500","307699000","0.41","983692","","","https://trendlyne.com/mutual-fund/holding-history/137666/1525832/"
"Rolex Rings Ltd","ROLEXRINGS","543325","Industrials","247201022","248191000","0.33","173645","","","https://trendlyne.com/mutual-fund/holding-history/137666/612873/"
"Aether Industries Ltd","AETHER","543534","Basic Materials","233660800.5","232765000","0.31","303495","","","https://trendlyne.com/mutual-fund/holding-history/137666/903803/"
