"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","6453545742.6","5936815000","3.74","11757234","","","/mutual-fund/holding-history/7995/77534/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","5530683995.6","5553087000","3.5","8454118","-19307","-0.23","/mutual-fund/holding-history/7995/555690/"
"Vijaya Diagnostic Centre Ltd","VIJAYA","543350","Healthcare","4543701091.2","4759184000","3","4756806","-161231","-3.28","/mutual-fund/holding-history/7995/644314/"
"Century Plyboards (India) Ltd","CENTURYPLY","532548","Basic Materials","5011922957.4","4625906000","2.92","6626898","","","/mutual-fund/holding-history/7995/252/"
"Cyient Ltd","CYIENT","532175","Industrials","4814610673.6","4245852000","2.68","3574852","","","/mutual-fund/holding-history/7995/301/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","4430177558.1","4229909000","2.67","4112297","","","/mutual-fund/holding-history/7995/219/"
"Garware Technical Fibres Ltd","GARFIBRES","509557","Consumer Cyclical","4100378869.5","4023577000","2.54","4668806","","","/mutual-fund/holding-history/7995/441/"
"Techno Electric & Engineering Co Ltd","TECHNOE","542141","Industrials","4616715163.5","3925703000","2.47","3691305","","","/mutual-fund/holding-history/7995/118204/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","3863912835.6","3566934000","2.25","1328764","","","/mutual-fund/holding-history/7995/1114/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","3158845691.4","3299553000","2.08","1219302","","","/mutual-fund/holding-history/7995/49/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","3515089000.5","3059788000","1.93","3147606","","","/mutual-fund/holding-history/7995/712/"
"V-Guard Industries Ltd","VGUARD","532953","Industrials","3213895624.6","3016896000","1.9","8365163","","","/mutual-fund/holding-history/7995/1476/"
"Alembic Pharmaceuticals Ltd","APLLTD","533573","Healthcare","3403943026.3","3001181000","1.89","3427766","","","/mutual-fund/holding-history/7995/92/"
