"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","6889151262.3","6575821000","3.79","11757234","","","/mutual-fund/holding-history/7995/77534/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","5744995886.9","5784730000","3.34","8454118","","","/mutual-fund/holding-history/7995/555690/"
"Techno Electric & Engineering Co Ltd","TECHNOE","542141","Industrials","5487863143.5","5204002000","3","3691305","","","/mutual-fund/holding-history/7995/118204/"
"Century Plyboards (India) Ltd","CENTURYPLY","532548","Basic Materials","5034454410.6","5155064000","2.97","6626898","","","/mutual-fund/holding-history/7995/252/"
"Cyient Ltd","CYIENT","532175","Industrials","4710582480.4","4814611000","2.78","3574852","","","/mutual-fund/holding-history/7995/301/"
"Vijaya Diagnostic Centre Ltd","VIJAYA","543350","Healthcare","4624627307","4572273000","2.64","4781212","24406","0.51","/mutual-fund/holding-history/7995/644314/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","4917895982.3","4500498000","2.6","4112297","","","/mutual-fund/holding-history/7995/219/"
"Garware Technical Fibres Ltd","GARFIBRES","509557","Consumer Cyclical","4041785354.2","4014239000","2.32","4668806","","","/mutual-fund/holding-history/7995/441/"
"Sansera Engineering Ltd","SANSERA","543358","Consumer Cyclical","3710317294.2","3831104000","2.21","2815539","100000","3.68","/mutual-fund/holding-history/7995/658068/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","3813552680","3772361000","2.18","1328764","","","/mutual-fund/holding-history/7995/1114/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","3700325613.6","3584336000","2.07","3147606","","","/mutual-fund/holding-history/7995/712/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","3720123435","3522186000","2.03","218715","","","/mutual-fund/holding-history/7995/1263/"
"Alembic Pharmaceuticals Ltd","APLLTD","533573","Healthcare","3328360786","3489637000","2.01","3427766","","","/mutual-fund/holding-history/7995/92/"
"Medplus Health Services Ltd","MEDPLUS","543427","Healthcare","3173347290","3458190000","2","3578425","","","/mutual-fund/holding-history/7995/752902/"
"V-Guard Industries Ltd","VGUARD","532953","Industrials","3148229095.05","3173325000","1.83","8365163","","","/mutual-fund/holding-history/7995/1476/"
"Amber Enterprises India Ltd Ordinary Shares","AMBER","540902","Consumer Cyclical","3135271420","3145690000","1.82","484586","","","/mutual-fund/holding-history/7995/73518/"
"BEML Ltd","BEML","500048","Industrials","3196475820","3087080000","1.78","729789","","","/mutual-fund/holding-history/7995/176/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","3167990456.4","3061423000","1.77","1219302","","","/mutual-fund/holding-history/7995/49/"
"V-Mart Retail Ltd","VMART","534976","Consumer Cyclical","3242231224.4","2983119000","1.72","876563","","","/mutual-fund/holding-history/7995/1498/"
"Blue Dart Express Ltd","BLUEDART","526612","Industrials","2794728675","2943645000","1.7","444525","","","/mutual-fund/holding-history/7995/208/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","2815358006.7","2915036000","1.68","1592307","-64918","-3.92","/mutual-fund/holding-history/7995/2170198/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","2557537901.1","2702212000","1.56","2724553","","","/mutual-fund/holding-history/7995/238/"
"Great Eastern Shipping Co Ltd","GESHIP","500620","Industrials","2866473703.05","2654443000","1.53","2851787","","","/mutual-fund/holding-history/7995/452/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","2651426698.05","2569801000","1.48","4353381","","","/mutual-fund/holding-history/7995/157/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","2712715017.6","2481312000","1.43","1619338","","","/mutual-fund/holding-history/7995/209/"
