"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","7036704549","7007899000","3.89","11757234","","","/mutual-fund/holding-history/7995/77534/"
"Techno Electric & Engineering Co Ltd","TECHNOE","542141","Industrials","5599709685","5906457000","3.28","3691305","","","/mutual-fund/holding-history/7995/118204/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","6350310735.7","5694694000","3.16","8454118","","","/mutual-fund/holding-history/7995/555690/"
"Century Plyboards (India) Ltd","CENTURYPLY","532548","Basic Materials","4834984780.8","5036442000","2.79","6626898","","","/mutual-fund/holding-history/7995/252/"
"Vijaya Diagnostic Centre Ltd","VIJAYA","543350","Healthcare","4856516089","4710689000","2.61","4781212","","","/mutual-fund/holding-history/7995/644314/"
"Cyient Ltd","CYIENT","532175","Industrials","4544351862.4","4606554000","2.55","3574852","","","/mutual-fund/holding-history/7995/301/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","4469655609.3","4563827000","2.53","4112297","","","/mutual-fund/holding-history/7995/219/"
"Garware Technical Fibres Ltd","GARFIBRES","509557","Consumer Cyclical","4594344088.4","4423024000","2.45","4778806","110000","2.36","/mutual-fund/holding-history/7995/441/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","3898539738","4033970000","2.24","3287133","139527","4.43","/mutual-fund/holding-history/7995/712/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","3719077559.6","3894342000","2.16","1328764","","","/mutual-fund/holding-history/7995/1114/"
"Sansera Engineering Ltd","SANSERA","543358","Consumer Cyclical","3825472839.3","3884599000","2.15","2815539","","","/mutual-fund/holding-history/7995/658068/"
"Alembic Pharmaceuticals Ltd","APLLTD","533573","Healthcare","3483981362.4","3561792000","1.98","3427766","","","/mutual-fund/holding-history/7995/92/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","3748838993.6","3536113000","1.96","26392840","26392840","New","/mutual-fund/holding-history/7995/2839786/"
"Solar Industries India Ltd","SOLARINDS","532725","Basic Materials","2978502758","3508883000","1.95","199391","-19324","-8.84","/mutual-fund/holding-history/7995/1263/"
"Amber Enterprises India Ltd Ordinary Shares","AMBER","540902","Consumer Cyclical","3570914234","3280405000","1.82","484586","","","/mutual-fund/holding-history/7995/73518/"
"BEML Ltd","BEML","500048","Industrials","3170641289.4","3252961000","1.8","729789","","","/mutual-fund/holding-history/7995/176/"
"V-Guard Industries Ltd","VGUARD","532953","Industrials","3339373069.6","3239828000","1.8","8365163","","","/mutual-fund/holding-history/7995/1476/"
"Medplus Health Services Ltd","MEDPLUS","543427","Healthcare","3230065326.25","3236685000","1.8","3578425","","","/mutual-fund/holding-history/7995/752902/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","3340887480","3138605000","1.74","1219302","","","/mutual-fund/holding-history/7995/49/"
"V-Mart Retail Ltd","VMART","534976","Consumer Cyclical","2670010898","3011520000","1.67","3506252","","","/mutual-fund/holding-history/7995/1498/"
"Blue Dart Express Ltd","BLUEDART","526612","Industrials","2995653975","2840292000","1.58","444525","","","/mutual-fund/holding-history/7995/208/"
"Great Eastern Shipping Co Ltd","GESHIP","500620","Industrials","2823696898.05","2791472000","1.55","2851787","","","/mutual-fund/holding-history/7995/452/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","2561575567.6","2757892000","1.53","1412348","-179959","-11.3","/mutual-fund/holding-history/7995/2170198/"
"Jubilant Ingrevia Ltd Ordinary Shares","JUBLINGREA","543271","Basic Materials","2856424752.45","2660206000","1.48","3488337","3488337","New","/mutual-fund/holding-history/7995/450809/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","2856836099.6","2648589000","1.47","1619338","","","/mutual-fund/holding-history/7995/209/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","2669380801.75","2630420000","1.46","2724553","","","/mutual-fund/holding-history/7995/238/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","2478067440.8","2604251000","1.44","1932367","","","/mutual-fund/holding-history/7995/1253626/"
"Avenue Supermarts Ltd","DMART","540376","Consumer Defensive","2391420202.7","2592420000","1.44","592919","","","/mutual-fund/holding-history/7995/53208/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","2665357517.25","2585255000","1.43","4353381","","","/mutual-fund/holding-history/7995/157/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","2571768642.8","2477035000","1.37","1049102","","","/mutual-fund/holding-history/7995/67/"
"Dhanuka Agritech Ltd","DHANUKA","507717","Basic Materials","2347820947.4","2344332000","1.3","1341842","","","/mutual-fund/holding-history/7995/327/"
"Minda Corp Ltd","MINDACORP","538962","Consumer Cyclical","2193381849.1","2206924000","1.22","4231877","169985","4.18","/mutual-fund/holding-history/7995/863/"
"J.B. Chemicals & Pharmaceuticals Ltd","JBCHEPHARM","506943","Healthcare","2187473870.4","2176715000","1.21","1296204","","","/mutual-fund/holding-history/7995/665/"
"Metropolis Healthcare Ltd","METROPOLIS","542650","Healthcare","2500232278.4","2152753000","1.19","1261724","175860","16.2","/mutual-fund/holding-history/7995/139598/"
