"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Sanathan Textiles Ltd","SANATHAN","544314","Consumer Cyclical","177112191.4","168224000","3.25","401251","","","/mutual-fund/holding-history/134856/2863354/"
"JTL Industries Ltd","JTLIND","534600","Basic Materials","178192726.56","162800000","3.14","2506932","480066","23.69","/mutual-fund/holding-history/134856/3930/"
"Housing & Urban Development Corp Ltd","HUDCO","540530","Financial Services","170905629.3","159028000","3.07","711662","-40456","-5.38","/mutual-fund/holding-history/134856/54143/"
"Manorama Industries Ltd","MANORAMA","541974","Consumer Defensive","158574625","147007000","2.84","115327","8520","7.98","/mutual-fund/holding-history/134856/110310/"
"TD Power Systems Ltd","TDPOWERSYS","533553","Industrials","156329202.5","141564000","2.73","327391","11229","3.55","/mutual-fund/holding-history/134856/1373/"
"Concord Enviro Systems Ltd","CEWATER","544315","Utilities","162075291.3","136397000","2.63","270441","","","/mutual-fund/holding-history/134856/2866112/"
"Hindustan Foods Ltd","HNDFDS","519126","Industrials","118499079","117762000","2.27","220054","74304","50.98","/mutual-fund/holding-history/134856/2794/"
"International Gemmological Institute (India) Ltd","IGIL","544311","Basic Materials","124930273.6","117278000","2.27","337832","","","/mutual-fund/holding-history/134856/2845097/"
"Praveg Ltd Ordinary Shares","","531637","Communication Services","115358464","116769000","2.26","212056","16354","8.36","/mutual-fund/holding-history/134856/61509/"
"Navkar Corp Ltd","NAVKARCORP","539332","Industrials","117123601.54","108569000","2.1","1084277","","","/mutual-fund/holding-history/134856/1775/"
"Piramal Pharma Ltd","PPLPHARMA","543635","Healthcare","99075795.78","102837000","1.99","487266","144436","42.13","/mutual-fund/holding-history/134856/1093348/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","96349482.9","102509000","1.98","22671","","","/mutual-fund/holding-history/134856/914/"
"Himatsingka Seide Ltd","HIMATSEIDE","514043","Consumer Cyclical","115767405.85","101930000","1.97","725587","-193186","-21.03","/mutual-fund/holding-history/134856/548/"
"Enviro Infra Engineers Ltd","EIEL","544290","Industrials","128351479.3","100574000","1.94","508645","21523","4.42","/mutual-fund/holding-history/134856/2799242/"
