"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Sanathan Textiles Ltd","SANATHAN","544314","Consumer Cyclical","173084973","181681000","3.16","390711","-10540","-2.63","/mutual-fund/holding-history/134856/2863354/"
"JTL Industries Ltd","JTLIND","534600","Basic Materials","199301094","169193000","2.94","2506932","","","/mutual-fund/holding-history/134856/3930/"
"Housing & Urban Development Corp Ltd","HUDCO","540530","Financial Services","153679669.2","161330000","2.8","668754","-42908","-6.03","/mutual-fund/holding-history/134856/54143/"
"Manorama Industries Ltd","MANORAMA","541974","Consumer Defensive","155006894.2","159371000","2.77","109106","-6221","-5.39","/mutual-fund/holding-history/134856/110310/"
"Concord Enviro Systems Ltd","CEWATER","544315","Utilities","154475899.2","158830000","2.76","270441","","","/mutual-fund/holding-history/134856/2866112/"
"Enviro Infra Engineers Ltd","EIEL","544290","Industrials","121557557.94","131710000","2.29","553566","44921","8.83","/mutual-fund/holding-history/134856/2799242/"
"International Gemmological Institute (India) Ltd","IGIL","544311","Basic Materials","129710596.4","131383000","2.28","337832","","","/mutual-fund/holding-history/134856/2845097/"
"Allied Blenders and Distillers Ltd","ABDL","544203","Consumer Defensive","141544760","130358000","2.26","326140","","","/mutual-fund/holding-history/134856/2365668/"
"Hindustan Foods Ltd","HNDFDS","519126","Industrials","126411564","129329000","2.25","236195","16141","7.34","/mutual-fund/holding-history/134856/2794/"
"Navkar Corp Ltd","NAVKARCORP","539332","Industrials","127415956.25","128196000","2.23","1130075","45798","4.22","/mutual-fund/holding-history/134856/1775/"
"Exide Industries Ltd","EXIDEIND","500086","Consumer Cyclical","123513251.4","124333000","2.16","321398","51675","19.16","/mutual-fund/holding-history/134856/404/"
"Praveg Ltd Ordinary Shares","","531637","Communication Services","109749582.8","121699000","2.11","212056","","","/mutual-fund/holding-history/134856/61509/"
"KSB Ltd","KSB","500249","Industrials","108202312.8","112097000","1.95","132471","","","/mutual-fund/holding-history/134856/768/"
"Arvind Fashions Ltd","ARVINDFASN","542484","Consumer Cyclical","114409359","106392000","1.85","231060","46039","24.88","/mutual-fund/holding-history/134856/130968/"
"Kross Ltd","KROSS","544253","Consumer Cyclical","111078536.72","103282000","1.79","587966","58572","11.06","/mutual-fund/holding-history/134856/2613902/"
"Shakti Pumps (India) Ltd","SHAKTIPUMP","531431","Industrials","118162746.35","101654000","1.77","118679","","","/mutual-fund/holding-history/134856/1211/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","98634625.8","97005000","1.69","246957","","","/mutual-fund/holding-history/134856/1364/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","102323291.4","96606000","1.68","22671","","","/mutual-fund/holding-history/134856/914/"
"Johnson Controls - Hitachi Air Conditioning India Ltd","JCHAC","523398","Consumer Cyclical","100632633.6","95149000","1.65","56768","","","/mutual-fund/holding-history/134856/563/"
