"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","1368658644","1202578000","3.37","742424","18000","2.48","/mutual-fund/holding-history/1146982/91/"
"CESC Ltd","CESC","500084","Utilities","966741006.34","917905000","2.57","5772622","","","/mutual-fund/holding-history/1146982/256/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","931394005","802577000","2.25","418510","-9565","-2.23","/mutual-fund/holding-history/1146982/253/"
"Firstsource Solutions Ltd","FSL","532809","Technology","880918530","776530000","2.18","2279220","","","/mutual-fund/holding-history/1146982/428/"
"Piramal Pharma Ltd","PPLPHARMA","543635","Healthcare","741255374.74","769399000","2.16","3645578","-100000","-2.67","/mutual-fund/holding-history/1146982/1093348/"
"Arvind Ltd","ARVIND","500101","Consumer Cyclical","762102104.5","762731000","2.14","2096567","","","/mutual-fund/holding-history/1146982/105/"
"DOMS Industries Ltd","DOMS","544045","Industrials","627327343","719867000","2.02","262151","","","/mutual-fund/holding-history/1146982/1819409/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","728420000","707140000","1.98","700000","-170000","-19.54","/mutual-fund/holding-history/1146982/4826/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","695952931.2","701327000","1.96","556896","406896","271.26","/mutual-fund/holding-history/1146982/1521/"
"Minda Corp Ltd","MINDACORP","538962","Consumer Cyclical","774789565.55","684582000","1.92","1407301","","","/mutual-fund/holding-history/1146982/863/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","717187500","676345000","1.89","425000","","","/mutual-fund/holding-history/1146982/1357/"
"Ramco Cements Ltd","RAMCOCEM","500260","Basic Materials","657180000","636930000","1.78","675000","675000","New","/mutual-fund/holding-history/1146982/1103/"
"eClerx Services Ltd","ECLERX","532927","Technology","856545309","633058000","1.77","251703","","","/mutual-fund/holding-history/1146982/356/"
"ITC Hotels Ltd","ITCHOTELS","544325","Consumer Cyclical","690187250","628981000","1.76","3235000","","","/mutual-fund/holding-history/1146982/2956218/"
"Triveni Engineering & Industries Ltd","TRIVENI","532356","Consumer Defensive","622605052.8","599177000","1.68","1464264","","","/mutual-fund/holding-history/1146982/1419/"
"Kirloskar Brothers Ltd","KIRLOSBROS","500241","Industrials","637289289.1","598716000","1.68","349717","","","/mutual-fund/holding-history/1146982/744/"
"Tega Industries Ltd","TEGA","543413","Industrials","678635539.5","584641000","1.64","432555","","","/mutual-fund/holding-history/1146982/743298/"
"Laurus Labs Ltd","LAURUSLABS","540222","Healthcare","573226536","575179000","1.61","952520","100000","11.73","/mutual-fund/holding-history/1146982/4984/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","574152000","541729000","1.52","101800","39000","62.1","/mutual-fund/holding-history/1146982/1023/"
"Arvind Fashions Ltd","ARVINDFASN","542484","Consumer Cyclical","617904652.5","541529000","1.52","1366290","","","/mutual-fund/holding-history/1146982/130968/"
"Bharat Bijlee Ltd","BBL","503960","Industrials","537891667.2","526397000","1.47","180162","","","/mutual-fund/holding-history/1146982/170/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","601922594.65","524286000","1.47","539333","","","/mutual-fund/holding-history/1146982/712/"
"Mrs Bectors Food Specialities Ltd Ordinary Shares","BECTORFOOD","543253","Consumer Defensive","528060416","523250000","1.47","351104","","","/mutual-fund/holding-history/1146982/369403/"
"Godfrey Phillips India Ltd","GODFRYPHLP","500163","Consumer Defensive","522842940.5","517582000","1.45","63773","29645","86.86","/mutual-fund/holding-history/1146982/475/"
"Supreme Petrochem Ltd","SPLPETRO","500405","Basic Materials","567177983.55","513037000","1.44","789227","","","/mutual-fund/holding-history/1146982/1322/"
