"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"APL Apollo Tubes Ltd","APLAPOLLO","533758","Basic Materials","1232720809.6","1291150000","3.18","742424","","","/mutual-fund/holding-history/1146982/91/"
"Bajaj Auto Ltd","BAJAJ-AUTO","532977","Consumer Cyclical","1077122340","1087640000","2.68","129852","","","/mutual-fund/holding-history/1146982/144/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","894272168","1019407000","2.51","418510","","","/mutual-fund/holding-history/1146982/253/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","896788100","938262000","2.31","523000","","","/mutual-fund/holding-history/1146982/53219/"
"RBL Bank Ltd","RBLBANK","540065","Financial Services","945276000","919376000","2.26","3700000","","","/mutual-fund/holding-history/1146982/4685/"
"Ramco Cements Ltd","RAMCOCEM","500260","Basic Materials","981750000","887040000","2.18","825000","150000","22.22","/mutual-fund/holding-history/1146982/1103/"
"eClerx Services Ltd","ECLERX","532927","Technology","940362408","881263000","2.17","251703","","","/mutual-fund/holding-history/1146982/356/"
"Firstsource Solutions Ltd","FSL","532809","Technology","799322454","853910000","2.1","2279220","","","/mutual-fund/holding-history/1146982/428/"
"Godfrey Phillips India Ltd","GODFRYPHLP","500163","Consumer Defensive","892382568","850730000","2.09","94773","15000","18.8","/mutual-fund/holding-history/1146982/475/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","832475771.4","849944000","2.09","766129","","","/mutual-fund/holding-history/1146982/4826/"
"Kirloskar Brothers Ltd","KIRLOSBROS","500241","Industrials","728950114.8","824423000","2.03","349717","","","/mutual-fund/holding-history/1146982/744/"
"Manappuram Finance Ltd","MANAPPURAM","531213","Financial Services","784186301.4","793756000","1.95","2882508","1250000","76.57","/mutual-fund/holding-history/1146982/827/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","799201449.6","780434000","1.92","556896","","","/mutual-fund/holding-history/1146982/1521/"
"Supreme Petrochem Ltd","SPLPETRO","500405","Basic Materials","727783460.7","777893000","1.91","898831","109604","13.89","/mutual-fund/holding-history/1146982/1322/"
"Voltamp Transformers Ltd","VOLTAMP","532757","Industrials","741699463.5","747948000","1.84","78599","1098","1.42","/mutual-fund/holding-history/1146982/1499/"
"Canara Bank","CANBK","532483","Financial Services","702325000","742300000","1.83","6500000","2500000","62.5","/mutual-fund/holding-history/1146982/232/"
"Arvind Ltd","ARVIND","500101","Consumer Cyclical","710002414.55","739669000","1.82","2096567","","","/mutual-fund/holding-history/1146982/105/"
"IIFL Finance Ltd","IIFL","532636","Financial Services","814817035.8","727076000","1.79","1537971","200000","14.95","/mutual-fund/holding-history/1146982/598/"
"ITC Hotels Ltd","ITCHOTELS","544325","Consumer Cyclical","798915600","719432000","1.77","3235000","","","/mutual-fund/holding-history/1146982/2956218/"
"JSW Energy Ltd","JSWENERGY","533148","Utilities","726725592.1","713806000","1.76","1367182","250000","22.38","/mutual-fund/holding-history/1146982/697/"
"Oswal Pumps Ltd","OSWALPUMPS","544418","Industrials","756655733.5","704818000","1.73","1000735","1000735","New","/mutual-fund/holding-history/1146982/3134742/"
"Belrise Industries Ltd","BELRISE","544405","Consumer Cyclical","838166000","699314000","1.72","6650000","6650000","New","/mutual-fund/holding-history/1146982/3104419/"
"Laurus Labs Ltd","LAURUSLABS","540222","Healthcare","784257342","690434000","1.7","952520","","","/mutual-fund/holding-history/1146982/4984/"
"Deepak Fertilisers & Petrochemicals Corp Ltd","DEEPAKFERT","500645","Basic Materials","638920000","682960000","1.68","400000","","","/mutual-fund/holding-history/1146982/317/"
"Welspun Corp Ltd","WELCORP","532144","Basic Materials","668901550","675810000","1.66","731000","126000","20.83","/mutual-fund/holding-history/1146982/1514/"
