"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","15092210035","16555433000","2.49","1851010","","","/mutual-fund/holding-history/10906/853/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","13347215000","13309975000","2","6650000","","","/mutual-fund/holding-history/10906/533/"
"Kirloskar Brothers Ltd","KIRLOSBROS","500241","Industrials","9321707772","10542599000","1.58","4472130","","","/mutual-fund/holding-history/10906/744/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","8615070005.1","8503508000","1.28","31784062","","","/mutual-fund/holding-history/10906/721/"
"ELANTAS Beck India Ltd","","500123","Basic Materials","8857596846","8273885000","1.24","651246","36498","5.94","/mutual-fund/holding-history/10906/2035/"
"Apar Industries Ltd","APARINDS","532259","Industrials","8262501948","7842992000","1.18","899271","","","/mutual-fund/holding-history/10906/88/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","7371455289","7770081000","1.17","2499222","","","/mutual-fund/holding-history/10906/67548/"
"State Bank of India","SBIN","500112","Financial Services","7416500000","7465185000","1.12","9100000","","","/mutual-fund/holding-history/10906/1193/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","6888750000","7323250000","1.1","27500000","","","/mutual-fund/holding-history/10906/189/"
"Pfizer Ltd","PFIZER","500680","Healthcare","6384506230.5","6847650000","1.03","1206103","","","/mutual-fund/holding-history/10906/1027/"
"Zydus Wellness Ltd","ZYDUSWELL","531335","Consumer Defensive","6885156633.2","6781253000","1.02","3351746","","","/mutual-fund/holding-history/10906/1550/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","6772282761.75","6568755000","0.99","11061303","","","/mutual-fund/holding-history/10906/157/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","6551779708.2","6397926000","0.96","4565382","268231","6.24","/mutual-fund/holding-history/10906/1521/"
"NLC India Ltd","NLCINDIA","513683","Utilities","6557367090.4","6261258000","0.94","27190940","","","/mutual-fund/holding-history/10906/935/"
"Paradeep Phosphates Ltd","PARADEEP","543530","Basic Materials","7336067284.8","6190000000","0.93","38692338","-351988","-0.9","/mutual-fund/holding-history/10906/895889/"
"eClerx Services Ltd","ECLERX","532927","Technology","6584064880","6170270000","0.93","1762330","","","/mutual-fund/holding-history/10906/356/"
"Voltamp Transformers Ltd","VOLTAMP","532757","Industrials","6062724774","6113802000","0.92","642476","","","/mutual-fund/holding-history/10906/1499/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","5936464157.4","6061028000","0.91","5463339","","","/mutual-fund/holding-history/10906/4826/"
"AstraZeneca Pharma India Ltd","ASTRAZEN","506820","Healthcare","5925965375","5862461000","0.88","658075","","","/mutual-fund/holding-history/10906/124/"
"AWL Agri Business Ltd","AWL","543458","Consumer Defensive","6306577711.5","5844545000","0.88","22483343","","","/mutual-fund/holding-history/10906/755501/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","6147771287.4","5833495000","0.88","2228907","","","/mutual-fund/holding-history/10906/1090/"
"Kirloskar Pneumatic Co Ltd","","505283","Industrials","5400758256.5","5813866000","0.87","4102361","","","/mutual-fund/holding-history/10906/2214/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","5774557824","5750919000","0.86","9648384","","","/mutual-fund/holding-history/10906/77534/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","5817070014.7","5698924000","0.86","9970126","","","/mutual-fund/holding-history/10906/374/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","5311239348.8","5641312000","0.85","3759371","","","/mutual-fund/holding-history/10906/1127/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","5447292120","5391787000","0.81","2303100","200000","9.51","/mutual-fund/holding-history/10906/117/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","5049491036.8","5306612000","0.8","3937532","","","/mutual-fund/holding-history/10906/1253626/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","5641520128","5246208000","0.79","350144","","","/mutual-fund/holding-history/10906/60393/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","5065412688","5217174000","0.78","5025211","186551","3.86","/mutual-fund/holding-history/10906/1313/"
"ISGEC Heavy Engineering Ltd","ISGEC","533033","Industrials","4803384231.6","5182599000","0.78","4185591","","","/mutual-fund/holding-history/10906/3892/"
"Affle 3i Ltd","AFFLE","542752","Communication Services","4909495220.6","5170845000","0.78","2587622","","","/mutual-fund/holding-history/10906/154217/"
"TD Power Systems Ltd","TDPOWERSYS","533553","Industrials","5032228262.4","5133983000","0.77","10278244","-1355068","-11.65","/mutual-fund/holding-history/10906/1373/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","4587417648","5010229000","0.75","4177976","","","/mutual-fund/holding-history/10906/140/"
"Gokaldas Exports Ltd","GOKEX","532630","Consumer Cyclical","4987117004.1","4856580000","0.73","5394102","","","/mutual-fund/holding-history/10906/480/"
"TBO Tek Ltd","TBOTEK","544174","Consumer Cyclical","4892809197.2","4797188000","0.72","3427297","","","/mutual-fund/holding-history/10906/2245414/"
"Sundaram Finance Holdings Ltd","SUNDARMHLD","","Financial Services","4661204955.75","4726687000","0.71","8848989","","","/mutual-fund/holding-history/10906/87798/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","4381317574.4","4674056000","0.7","5739968","","","/mutual-fund/holding-history/10906/65394/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","4354010822.2","4555371000","0.68","2539226","-990492","-28.06","/mutual-fund/holding-history/10906/53219/"
"Ramco Cements Ltd","RAMCOCEM","500260","Basic Materials","5023363660","4538757000","0.68","4221314","1021314","31.92","/mutual-fund/holding-history/10906/1103/"
"Sai Life Sciences Ltd","SAILIFE","544306","Healthcare","4658593917","4465207000","0.67","5772731","3041551","111.36","/mutual-fund/holding-history/10906/2840733/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","4296657404","4445917000","0.67","3622814","","","/mutual-fund/holding-history/10906/712/"
"Inox Wind Ltd","INOXWIND","539083","Industrials","4101030910.56","4344075000","0.65","24775152","","","/mutual-fund/holding-history/10906/1627/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","4588050540","4310256000","0.65","1674471","","","/mutual-fund/holding-history/10906/49/"
"Coal India Ltd","COALINDIA","533278","Energy","4266481500","4297732000","0.65","10965000","","","/mutual-fund/holding-history/10906/275/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","4550271817.3","4210612000","0.63","1835009","","","/mutual-fund/holding-history/10906/560/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","4106193370.4","4202501000","0.63","862972","","","/mutual-fund/holding-history/10906/80502/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","3678764026.4","4193529000","0.63","1721623","","","/mutual-fund/holding-history/10906/253/"
"Timken India Ltd","TIMKEN","522113","Industrials","4145473530.8","4142750000","0.62","1184218","","","/mutual-fund/holding-history/10906/1399/"
"Vardhman Textiles Ltd","VTL","502986","Consumer Cyclical","3989513352","4121248000","0.62","8233440","","","/mutual-fund/holding-history/10906/1504/"
"Tejas Networks Ltd","TEJASNET","540595","Technology","3606921582.6","4118738000","0.62","5763697","","","/mutual-fund/holding-history/10906/54898/"
"NIIT Learning Systems Ltd","NIITMTS","543952","Consumer Defensive","4104308780.4","4098207000","0.62","12204308","","","/mutual-fund/holding-history/10906/1603230/"
"Vedanta Ltd","VEDL","500295","Basic Materials","3993954381.6","4084807000","0.61","8863636","","","/mutual-fund/holding-history/10906/1289/"
"Procter & Gamble Health Ltd","PGHL","500126","Healthcare","4062445035","4073181000","0.61","692659","7583","1.11","/mutual-fund/holding-history/10906/858/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","3968942572.8","4020530000","0.6","3658686","","","/mutual-fund/holding-history/10906/1359/"
