"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 Jul, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","15231035785","14239820000","2.16","1851010","","","https://trendlyne.com/mutual-fund/holding-history/10906/853/"
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","13220865000","13421030000","2.04","6650000","","","https://trendlyne.com/mutual-fund/holding-history/10906/533/"
"Kirloskar Brothers Ltd","KIRLOSBROS","500241","Industrials","8814568230","8814121000","1.34","4472130","","","https://trendlyne.com/mutual-fund/holding-history/10906/744/"
"Paradeep Phosphates Ltd","PARADEEP","543530","Basic Materials","8658967554.06","8695697000","1.32","40362502","1670164","4.32","https://trendlyne.com/mutual-fund/holding-history/10906/895889/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","8247964089","8378279000","1.27","31784062","","","https://trendlyne.com/mutual-fund/holding-history/10906/721/"
"Apar Industries Ltd","APARINDS","532259","Industrials","7527347905.5","8010256000","1.22","899271","","","https://trendlyne.com/mutual-fund/holding-history/10906/88/"
"ELANTAS Beck India Ltd","","500123","Basic Materials","7310236350","7976461000","1.21","651246","","","https://trendlyne.com/mutual-fund/holding-history/10906/2035/"
"State Bank of India","SBIN","500112","Financial Services","7542080000","7248605000","1.1","9100000","","","https://trendlyne.com/mutual-fund/holding-history/10906/1193/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","7917535296","7099540000","1.08","2499222","","","https://trendlyne.com/mutual-fund/holding-history/10906/67548/"
"Zydus Wellness Ltd","ZYDUSWELL","531335","Consumer Defensive","6731703558","6836486000","1.04","3369221","17475","0.52","https://trendlyne.com/mutual-fund/holding-history/10906/1550/"
"eClerx Services Ltd","ECLERX","532927","Technology","7030991768","6639050000","1.01","1762330","","","https://trendlyne.com/mutual-fund/holding-history/10906/356/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","6423141400","6594096000","1","4940878","375496","8.22","https://trendlyne.com/mutual-fund/holding-history/10906/1521/"
"NLC India Ltd","NLCINDIA","513683","Utilities","6427666306.6","6587005000","1","27190940","","","https://trendlyne.com/mutual-fund/holding-history/10906/935/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","6070350000","6557375000","0.99","27500000","","","https://trendlyne.com/mutual-fund/holding-history/10906/189/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","6453164170.2","6493538000","0.99","11061303","","","https://trendlyne.com/mutual-fund/holding-history/10906/157/"
"Pfizer Ltd","PFIZER","500680","Healthcare","6809657538","6265102000","0.95","1206103","","","https://trendlyne.com/mutual-fund/holding-history/10906/1027/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","6517425658","6245520000","0.95","10397935","427809","4.29","https://trendlyne.com/mutual-fund/holding-history/10906/374/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","6329650098.6","6094946000","0.92","2228907","","","https://trendlyne.com/mutual-fund/holding-history/10906/1090/"
"AstraZeneca Pharma India Ltd","ASTRAZEN","506820","Healthcare","5568630650","6045077000","0.92","658075","","","https://trendlyne.com/mutual-fund/holding-history/10906/124/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","5905178560","5896775000","0.89","350144","","","https://trendlyne.com/mutual-fund/holding-history/10906/60393/"
"AWL Agri Business Ltd","AWL","543458","Consumer Defensive","5853538350.05","5895133000","0.89","22483343","","","https://trendlyne.com/mutual-fund/holding-history/10906/755501/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","5932308902.4","5836307000","0.89","9648384","","","https://trendlyne.com/mutual-fund/holding-history/10906/77534/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","5804987294.4","5745830000","0.87","5377976","1200000","28.72","https://trendlyne.com/mutual-fund/holding-history/10906/140/"
"Voltamp Transformers Ltd","VOLTAMP","532757","Industrials","5284686338","5676918000","0.86","642476","","","https://trendlyne.com/mutual-fund/holding-history/10906/1499/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","5920579170","5518458000","0.84","2303100","","","https://trendlyne.com/mutual-fund/holding-history/10906/117/"
"Kirloskar Pneumatic Co Ltd","","505283","Industrials","5197691387","5411424000","0.82","4102361","","","https://trendlyne.com/mutual-fund/holding-history/10906/2214/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","4418475416.25","5387945000","0.82","5463339","","","https://trendlyne.com/mutual-fund/holding-history/10906/4826/"
"TD Power Systems Ltd","TDPOWERSYS","533553","Industrials","5266058313.4","5242932000","0.8","10278244","","","https://trendlyne.com/mutual-fund/holding-history/10906/1373/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","5313119034.3","5226278000","0.79","3759371","","","https://trendlyne.com/mutual-fund/holding-history/10906/1127/"
"Affle 3i Ltd","AFFLE","542752","Communication Services","5045604137.8","5066564000","0.77","2587622","","","https://trendlyne.com/mutual-fund/holding-history/10906/154217/"
"Ramco Cements Ltd","RAMCOCEM","500260","Basic Materials","4707187241.4","4969331000","0.75","4221314","","","https://trendlyne.com/mutual-fund/holding-history/10906/1103/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","5001592508.3","4949833000","0.75","5025211","","","https://trendlyne.com/mutual-fund/holding-history/10906/1313/"
"Sai Life Sciences Ltd","SAILIFE","544306","Healthcare","5250876117.6","4666964000","0.71","5772731","","","https://trendlyne.com/mutual-fund/holding-history/10906/2840733/"
"TBO Tek Ltd","TBOTEK","544174","Consumer Cyclical","5010708214","4642617000","0.7","3427297","","","https://trendlyne.com/mutual-fund/holding-history/10906/2245414/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","4895987512.9","4626425000","0.7","1835009","","","https://trendlyne.com/mutual-fund/holding-history/10906/560/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","4489089303.9","4607140000","0.7","1674471","","","https://trendlyne.com/mutual-fund/holding-history/10906/49/"
"Gokaldas Exports Ltd","GOKEX","532630","Consumer Cyclical","4160201167.5","4583638000","0.7","5394102","","","https://trendlyne.com/mutual-fund/holding-history/10906/480/"
"ISGEC Heavy Engineering Ltd","ISGEC","533033","Industrials","4346317694.4","4567317000","0.69","4185591","","","https://trendlyne.com/mutual-fund/holding-history/10906/3892/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","4570162521.6","4336546000","0.66","5739968","","","https://trendlyne.com/mutual-fund/holding-history/10906/65394/"
"MAS Financial Services Ltd Ordinary Shares","MASFIN","540749","Financial Services","4371147782.4","4293789000","0.65","13938609","2000000","16.75","https://trendlyne.com/mutual-fund/holding-history/10906/62997/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","4390348180","4263953000","0.65","3937532","","","https://trendlyne.com/mutual-fund/holding-history/10906/1253626/"
"Fine Organic Industries Ltd Ordinary Shares","FINEORG","541557","Basic Materials","3803436435","4162820000","0.63","785023","","","https://trendlyne.com/mutual-fund/holding-history/10906/92286/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","4630318573.4","4156817000","0.63","3622814","","","https://trendlyne.com/mutual-fund/holding-history/10906/712/"
"Procter & Gamble Health Ltd","PGHL","500126","Healthcare","4354400803.5","4083571000","0.62","692659","","","https://trendlyne.com/mutual-fund/holding-history/10906/858/"
"Sundaram Finance Holdings Ltd","SUNDARMHLD","","Financial Services","4212899500","4063763000","0.62","8425799","-423190","-4.78","https://trendlyne.com/mutual-fund/holding-history/10906/87798/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","4258421213.8","3960939000","0.6","28385690","","","https://trendlyne.com/mutual-fund/holding-history/10906/2839786/"
"eMudhra Ltd","EMUDHRA","543533","Technology","3833174644","3946543000","0.6","5083786","","","https://trendlyne.com/mutual-fund/holding-history/10906/897537/"
"Timken India Ltd","TIMKEN","522113","Industrials","3505403701.8","3930301000","0.6","1184218","","","https://trendlyne.com/mutual-fund/holding-history/10906/1399/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","4044677373","3926502000","0.6","3658686","","","https://trendlyne.com/mutual-fund/holding-history/10906/1359/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","3517270142.5","3921455000","0.59","3439873","","","https://trendlyne.com/mutual-fund/holding-history/10906/764/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","3854982221.2","3912629000","0.59","862972","","","https://trendlyne.com/mutual-fund/holding-history/10906/80502/"
"NIIT Learning Systems Ltd","NIITMTS","543952","Consumer Defensive","4082951241.4","3879750000","0.59","12204308","","","https://trendlyne.com/mutual-fund/holding-history/10906/1603230/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","3883981250","3849900000","0.58","5125000","","","https://trendlyne.com/mutual-fund/holding-history/10906/555690/"
"Vedanta Ltd","VEDL","500295","Basic Materials","3948306656.2","3772807000","0.57","8863636","","","https://trendlyne.com/mutual-fund/holding-history/10906/1289/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","4013754538.2","3760086000","0.57","2539226","","","https://trendlyne.com/mutual-fund/holding-history/10906/53219/"
"Crompton Greaves Consumer Electricals Ltd","CROMPTON","539876","Consumer Cyclical","3812110114.5","3748285000","0.57","11604597","1680187","16.93","https://trendlyne.com/mutual-fund/holding-history/10906/2020/"
"Inox Wind Ltd","INOXWIND","539083","Industrials","3568860645.6","3734606000","0.57","24775152","","","https://trendlyne.com/mutual-fund/holding-history/10906/1627/"
"ICRA Ltd","ICRA","532835","Financial Services","3525959205","3725499000","0.57","562085","258897","85.39","https://trendlyne.com/mutual-fund/holding-history/10906/586/"
"Gland Pharma Ltd","GLAND","543245","Healthcare","3453919740","3676110000","0.56","1780371","","","https://trendlyne.com/mutual-fund/holding-history/10906/338662/"
"Birla Corp Ltd","BIRLACORPN","500335","Basic Materials","3430350980.1","3645608000","0.55","2697453","-115000","-4.09","https://trendlyne.com/mutual-fund/holding-history/10906/198/"
"Vardhman Textiles Ltd","VTL","502986","Consumer Cyclical","3530499072","3597190000","0.55","8233440","","","https://trendlyne.com/mutual-fund/holding-history/10906/1504/"
"Bayer CropScience Ltd","BAYERCROP","506285","Basic Materials","3121431350","3539955000","0.54","559898","","","https://trendlyne.com/mutual-fund/holding-history/10906/169/"
"InterGlobe Aviation Ltd","INDIGO","539448","Industrials","3643355160","3502326000","0.53","592560","","","https://trendlyne.com/mutual-fund/holding-history/10906/1784/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","3862760772","3480490000","0.53","2002468","","","https://trendlyne.com/mutual-fund/holding-history/10906/209/"
"Galaxy Surfactants Ltd","GALAXYSURF","540935","Basic Materials","2822480838.3","3441008000","0.52","1290749","","","https://trendlyne.com/mutual-fund/holding-history/10906/74800/"
"Cyient Ltd","CYIENT","532175","Industrials","3510130269.6","3437145000","0.52","2850983","","","https://trendlyne.com/mutual-fund/holding-history/10906/301/"
"Jyothy Labs Ltd","JYOTHYLAB","532926","Consumer Defensive","3551549885","3394781000","0.51","10212940","8424","0.08","https://trendlyne.com/mutual-fund/holding-history/10906/706/"
"Tejas Networks Ltd","TEJASNET","540595","Technology","3351013435.8","3363405000","0.51","5763697","","","https://trendlyne.com/mutual-fund/holding-history/10906/54898/"
"Kirloskar Oil Engines Ltd","KIRLOSENG","533293","Industrials","3573079984.3","3359446000","0.51","3715379","-65079","-1.72","https://trendlyne.com/mutual-fund/holding-history/10906/745/"
"Ion Exchange (India) Ltd","IONEXCHANG","500214","Industrials","3195756900","3331465000","0.51","7161360","","","https://trendlyne.com/mutual-fund/holding-history/10906/2050/"
"Voltas Ltd","VOLTAS","500575","Consumer Cyclical","3424377571.6","3315259000","0.5","2496994","","","https://trendlyne.com/mutual-fund/holding-history/10906/1500/"
"Genus Power Infrastructures Ltd","GENUSPOWER","530343","Industrials","3236400000","3314055000","0.5","9300000","-289956","-3.02","https://trendlyne.com/mutual-fund/holding-history/10906/449/"
"Aditya Birla Real Estate Ltd","ABREL","500040","Basic Materials","3111833572.5","3244743000","0.49","1721623","","","https://trendlyne.com/mutual-fund/holding-history/10906/253/"
"HDB Financial Services Ltd","HDBFS","544429","Financial Services","3359120840.8","3236044000","0.49","4266092","3125132","273.9","https://trendlyne.com/mutual-fund/holding-history/10906/3147463/"
"Avalon Technologies Ltd","AVALON","543896","Technology","3198431644.2","3205063000","0.49","3789162","","","https://trendlyne.com/mutual-fund/holding-history/10906/1416031/"
"Hitachi Energy India Ltd Ordinary Shares","POWERINDIA","543187","Industrials","3178960000","3194060000","0.48","158948","","","https://trendlyne.com/mutual-fund/holding-history/10906/202203/"
"Indigo Paints Ltd Ordinary Shares","INDIGOPNTS","543258","Basic Materials","3022500000","3120000000","0.47","2600000","","","https://trendlyne.com/mutual-fund/holding-history/10906/402502/"
"Craftsman Automation Ltd","CRAFTSMAN","543276","Consumer Cyclical","3132208737","3065692000","0.47","454042","","","https://trendlyne.com/mutual-fund/holding-history/10906/445359/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","3011949530.4","3065514000","0.47","7707138","","","https://trendlyne.com/mutual-fund/holding-history/10906/1364/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","3223129434","3038951000","0.46","3265582","","","https://trendlyne.com/mutual-fund/holding-history/10906/238/"
