"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","12809895000","12801250000","2.21","6650000","","","/mutual-fund/holding-history/10901/533/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","11889962735","11342989000","1.95","1851010","","","/mutual-fund/holding-history/10901/853/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","7094943104","7734809000","1.33","470144","","","/mutual-fund/holding-history/10901/60393/"
"Kirloskar Brothers Ltd","KIRLOSBROS","500241","Industrials","8124071358","7656287000","1.32","4472130","","","/mutual-fund/holding-history/10901/744/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","7608131612.4","7244245000","1.25","2499222","","","/mutual-fund/holding-history/10901/67548/"
"State Bank of India","SBIN","500112","Financial Services","7222670000","7176715000","1.24","9100000","","","/mutual-fund/holding-history/10901/1193/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","7207671739.74","6934329000","1.19","31784062","","","/mutual-fund/holding-history/10901/721/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","7154675000","6238100000","1.08","27500000","","","/mutual-fund/holding-history/10901/189/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","5877887783.3","6228338000","1.07","9970126","","","/mutual-fund/holding-history/10901/374/"
"NLC India Ltd","NLCINDIA","513683","Utilities","6483135824.2","6188114000","1.07","27190940","","","/mutual-fund/holding-history/10901/935/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","6173866269.45","6093672000","1.05","11061303","","","/mutual-fund/holding-history/10901/157/"
"AWL Agri Business Ltd","AWL","543458","Consumer Defensive","6016542586.8","6004177000","1.03","22483343","","","/mutual-fund/holding-history/10901/755501/"
"ELANTAS Beck India Ltd","","500123","Basic Materials","5840106000","5948578000","1.03","614748","","","/mutual-fund/holding-history/10901/2035/"
"Zydus Wellness Ltd","ZYDUSWELL","531335","Consumer Defensive","6497713815.4","5857001000","1.01","3318038","","","/mutual-fund/holding-history/10901/1550/"
"AstraZeneca Pharma India Ltd","ASTRAZEN","506820","Healthcare","5202411912.5","5712749000","0.98","658075","","","/mutual-fund/holding-history/10901/124/"
"Paradeep Phosphates Ltd","PARADEEP","543530","Basic Materials","6245139943.7","5623945000","0.97","39044326","-491919","-1.24","/mutual-fund/holding-history/10901/895889/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","5455249882.5","5473527000","0.94","2228907","","","/mutual-fund/holding-history/10901/1090/"
"TD Power Systems Ltd","TDPOWERSYS","533553","Industrials","5948843980","5386974000","0.93","12458312","","","/mutual-fund/holding-history/10901/1373/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","5906760644.4","5319228000","0.92","4029718","","","/mutual-fund/holding-history/10901/53219/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","5346201499.1","5281916000","0.91","3759371","","","/mutual-fund/holding-history/10901/1127/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","5214784401.3","5255052000","0.91","4172829","200000","5.03","/mutual-fund/holding-history/10901/1521/"
"Pfizer Ltd","PFIZER","500680","Healthcare","6534183612.8","5177559000","0.89","1206103","108","0.01","/mutual-fund/holding-history/10901/1027/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","4895175560","5101490000","0.88","2103100","129160","6.54","/mutual-fund/holding-history/10901/117/"
"Apar Industries Ltd","APARINDS","532259","Industrials","6875826066","5038615000","0.87","899271","","","/mutual-fund/holding-history/10901/88/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","4995188105.6","4950902000","0.85","4177976","1000000","31.47","/mutual-fund/holding-history/10901/140/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","5295997977.6","4871952000","0.84","9648384","","","/mutual-fund/holding-history/10901/77534/"
"Vedanta Ltd","VEDL","500295","Basic Materials","5090908928","4763636000","0.82","11363636","","","/mutual-fund/holding-history/10901/1289/"
"ISGEC Heavy Engineering Ltd","ISGEC","533033","Industrials","5238685695.6","4729718000","0.82","4185591","","","/mutual-fund/holding-history/10901/3892/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","4249384534.4","4715588000","0.81","3937532","","","/mutual-fund/holding-history/10901/1253626/"
"Voltamp Transformers Ltd","VOLTAMP","532757","Industrials","5312634044","4691039000","0.81","642476","","","/mutual-fund/holding-history/10901/1499/"
"Kirloskar Pneumatic Co Ltd","","505283","Industrials","5198511859.2","4642232000","0.8","4102361","","","/mutual-fund/holding-history/10901/2214/"
"Gokaldas Exports Ltd","GOKEX","532630","Consumer Cyclical","5094729339","4577165000","0.79","5394102","","","/mutual-fund/holding-history/10901/480/"
"NIIT Learning Systems Ltd","NIITMTS","543952","Consumer Defensive","4235505091.4","4568683000","0.79","12204308","","","/mutual-fund/holding-history/10901/1603230/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","4338052019.7","4531286000","0.78","1674471","","","/mutual-fund/holding-history/10901/49/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","4567559691.2","4434123000","0.76","4389352","","","/mutual-fund/holding-history/10901/4826/"
"eClerx Services Ltd","ECLERX","532927","Technology","6004963242","4432436000","0.76","1762330","","","/mutual-fund/holding-history/10901/356/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","4221418295.2","4323023000","0.74","3708203","","","/mutual-fund/holding-history/10901/1359/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","4723619983.85","4312840000","0.74","4702693","","","/mutual-fund/holding-history/10901/1313/"
"Hindustan Unilever Ltd","HINDUNILVR","500696","Consumer Defensive","4367688421.8","4297775000","0.74","1835009","425000","30.14","/mutual-fund/holding-history/10901/560/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","4453067174.4","4268814000","0.74","5739968","","","/mutual-fund/holding-history/10901/65394/"
"Coal India Ltd","COALINDIA","533278","Energy","4385451750","4224815000","0.73","10965000","","","/mutual-fund/holding-history/10901/275/"
"Inox Wind Ltd","INOXWIND","539083","Industrials","4770951020.64","4187496000","0.72","24775152","","","/mutual-fund/holding-history/10901/1627/"
"Affle 3i Ltd","AFFLE","542752","Communication Services","4340477142.8","4098793000","0.71","2587622","","","/mutual-fund/holding-history/10901/154217/"
"Tejas Networks Ltd","TEJASNET","540595","Technology","4259660267.85","4047844000","0.7","5763697","","","/mutual-fund/holding-history/10901/54898/"
"eMudhra Ltd","EMUDHRA","543533","Technology","3766322858.1","3942476000","0.68","5083786","","","/mutual-fund/holding-history/10901/897537/"
"Hindustan Aeronautics Ltd Ordinary Shares","HAL","541154","Industrials","4339972485.2","3872932000","0.67","862972","","","/mutual-fund/holding-history/10901/80502/"
"TBO Tek Ltd","TBOTEK","544174","Consumer Cyclical","4419499481.5","3849883000","0.66","3427297","","","/mutual-fund/holding-history/10901/2245414/"
"Jyothy Labs Ltd","JYOTHYLAB","532926","Consumer Defensive","3422253460","3747944000","0.65","10021240","","","/mutual-fund/holding-history/10901/706/"
"Vardhman Textiles Ltd","VTL","502986","Consumer Cyclical","4024917144","3739628000","0.64","8233440","","","/mutual-fund/holding-history/10901/1504/"
