"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","12870410000","12933585000","2.05","6650000","","","/mutual-fund/holding-history/10901/533/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","14488780775","12220368000","1.94","1851010","","","/mutual-fund/holding-history/10901/853/"
"Kirloskar Brothers Ltd","KIRLOSBROS","500241","Industrials","8148668073","8104394000","1.29","4472130","","","/mutual-fund/holding-history/10901/744/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","7465925880.6","7652868000","1.21","2499222","","","/mutual-fund/holding-history/10901/67548/"
"State Bank of India","SBIN","500112","Financial Services","7211750000","7391930000","1.17","9100000","","","/mutual-fund/holding-history/10901/1193/"
"Apar Industries Ltd","APARINDS","532259","Industrials","6957210091.5","7296685000","1.16","899271","","","/mutual-fund/holding-history/10901/88/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","6997375000","7145325000","1.13","27500000","","","/mutual-fund/holding-history/10901/189/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","7899928610.1","7046209000","1.12","31784062","","","/mutual-fund/holding-history/10901/721/"
"Pfizer Ltd","PFIZER","500680","Healthcare","7083442919","6770218000","1.07","1206103","","","/mutual-fund/holding-history/10901/1027/"
"Paradeep Phosphates Ltd","PARADEEP","543530","Basic Materials","6704301217.46","6726556000","1.07","39044326","","","/mutual-fund/holding-history/10901/895889/"
"NLC India Ltd","NLCINDIA","513683","Utilities","6281379049.4","6572594000","1.04","27190940","","","/mutual-fund/holding-history/10901/935/"
"Zydus Wellness Ltd","ZYDUSWELL","531335","Consumer Defensive","6413230796.4","6533894000","1.04","3351746","33708","1.02","/mutual-fund/holding-history/10901/1550/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","6736886592.15","6529487000","1.04","11061303","","","/mutual-fund/holding-history/10901/157/"
"eClerx Services Ltd","ECLERX","532927","Technology","6359367805","6242349000","0.99","1762330","","","/mutual-fund/holding-history/10901/356/"
"AWL Agri Business Ltd","AWL","543458","Consumer Defensive","5949092557.8","6182919000","0.98","22483343","","","/mutual-fund/holding-history/10901/755501/"
"TD Power Systems Ltd","TDPOWERSYS","533553","Industrials","5940550772.8","6059792000","0.96","11633312","-825000","-6.62","/mutual-fund/holding-history/10901/1373/"
"ELANTAS Beck India Ltd","","500123","Basic Materials","6533049945.6","5975443000","0.95","614748","","","/mutual-fund/holding-history/10901/2035/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","5719861286.2","5824548000","0.92","9970126","","","/mutual-fund/holding-history/10901/374/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","5808075690.9","5708643000","0.91","5463339","1073987","24.47","/mutual-fund/holding-history/10901/4826/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","5831935165.5","5645376000","0.9","2228907","","","/mutual-fund/holding-history/10901/1090/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","5939103506.8","5399410000","0.86","3529718","-500000","-12.41","/mutual-fund/holding-history/10901/53219/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","5653470604.8","5396341000","0.86","9648384","","","/mutual-fund/holding-history/10901/77534/"
"Gokaldas Exports Ltd","GOKEX","532630","Consumer Cyclical","4904317538.4","5344746000","0.85","5394102","","","/mutual-fund/holding-history/10901/480/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","5405223623.8","5341690000","0.85","3759371","","","/mutual-fund/holding-history/10901/1127/"
"Voltamp Transformers Ltd","VOLTAMP","532757","Industrials","5682057744","5323877000","0.84","642476","","","/mutual-fund/holding-history/10901/1499/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","5687709063.6","5310849000","0.84","4297151","124322","2.98","/mutual-fund/holding-history/10901/1521/"
"AstraZeneca Pharma India Ltd","ASTRAZEN","506820","Healthcare","6755797950","5246174000","0.83","658075","","","/mutual-fund/holding-history/10901/124/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","5011611072","5144316000","0.82","350144","-120000","-25.52","/mutual-fund/holding-history/10901/60393/"
"Kirloskar Pneumatic Co Ltd","","505283","Industrials","5558699155","5143540000","0.82","4102361","","","/mutual-fund/holding-history/10901/2214/"
"ISGEC Heavy Engineering Ltd","ISGEC","533033","Industrials","5180505980.7","5076703000","0.81","4185591","","","/mutual-fund/holding-history/10901/3892/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","5077912030.4","4980983000","0.79","4177976","","","/mutual-fund/holding-history/10901/140/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","4737532006","4966884000","0.79","4838660","135967","2.89","/mutual-fund/holding-history/10901/1313/"
"Inox Wind Ltd","INOXWIND","539083","Industrials","4274952477.6","4831155000","0.77","24775152","","","/mutual-fund/holding-history/10901/1627/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","4721038880","4751113000","0.75","2103100","","","/mutual-fund/holding-history/10901/117/"
