"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Reliance Industries Ltd","RELIANCE","500325","Energy","27816239617.6","27475968000","10.48","19555849","","","/mutual-fund/holding-history/6125/1127/"
"Jio Financial Services Ltd","JIOFIN","543940","Financial Services","15275900685.2","13703583000","5.23","52621084","","","/mutual-fund/holding-history/6125/1564869/"
"Aegis Logistics Ltd","AEGISLOG","500003","Energy","10629010939.4","10354782000","3.95","13184087","","","/mutual-fund/holding-history/6125/35/"
"Aditya Birla Fashion and Retail Ltd","ABFRL","535755","Consumer Cyclical","2839507016.7","8489530000","3.24","32212218","","","/mutual-fund/holding-history/6125/1029/"
"Poly Medicure Ltd","POLYMED","531768","Healthcare","7458955980","8090751000","3.09","3143260","","","/mutual-fund/holding-history/6125/1053/"
"Bikaji Foods International Ltd","BIKAJI","543653","Consumer Defensive","8254678437","7879926000","3.01","11253822","","","/mutual-fund/holding-history/6125/1110875/"
"RBL Bank Ltd","RBLBANK","540065","Financial Services","7977521772.16","7596863000","2.9","37914176","","","/mutual-fund/holding-history/6125/4685/"
"Sun TV Network Ltd","SUNTV","532733","Communication Services","6515403382.8","6402998000","2.44","10312446","","","/mutual-fund/holding-history/6125/1318/"
"Adani Power Ltd","ADANIPOWER","533096","Utilities","6251587027","6014750000","2.29","11304859","","","/mutual-fund/holding-history/6125/28/"
"HFCL Ltd","HFCL","500183","Technology","6594784619","6000687000","2.29","75584924","","","/mutual-fund/holding-history/6125/543/"
"Ventive Hospitality Ltd","VENTIVE","544321","Consumer Cyclical","6301211066.5","5977315000","2.28","8315686","","","/mutual-fund/holding-history/6125/2866111/"
"Adani Enterprises Ltd","ADANIENT","512599","Energy","6274151434.8","5680280000","2.17","2468292","","","/mutual-fund/holding-history/6125/26/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","5833241313.5","5368623000","2.05","10631990","","","/mutual-fund/holding-history/6125/77534/"
"Arvind Ltd","ARVIND","500101","Consumer Cyclical","5117209269.25","5141944000","1.96","14133985","","","/mutual-fund/holding-history/6125/105/"
"Bayer CropScience Ltd","BAYERCROP","506285","Basic Materials","5429474788.5","4468183000","1.7","952623","","","/mutual-fund/holding-history/6125/169/"
"Piramal Enterprises Ltd","PEL","500302","Financial Services","4457994222.4","3927116000","1.5","4057148","","","/mutual-fund/holding-history/6125/1019/"
"Anand Rathi Wealth Ltd","ANANDRATHI","543415","Financial Services","4289920088.6","3775059000","1.44","2218274","","","/mutual-fund/holding-history/6125/747241/"
"Pfizer Ltd","PFIZER","500680","Healthcare","4740021259","3756316000","1.43","875027","","","/mutual-fund/holding-history/6125/1027/"
"Minda Corp Ltd","MINDACORP","538962","Consumer Cyclical","4028296167.6","3552832000","1.35","7303592","","","/mutual-fund/holding-history/6125/863/"
"Just Dial Ltd","JUSTDIAL","535648","Communication Services","3390189957","3529595000","1.35","3767715","","","/mutual-fund/holding-history/6125/704/"
"Welspun Corp Ltd","WELCORP","532144","Basic Materials","3374541406.25","3315149000","1.26","4319413","222662","5.44","/mutual-fund/holding-history/6125/1514/"
"Keystone Realtors Ltd","RUSTOMJEE","543669","Real Estate","3283680048","3267510000","1.25","6219091","","","/mutual-fund/holding-history/6125/1131322/"
"Sequent Scientific Ltd","SEQUENT","512529","Healthcare","4354821736.5","3242545000","1.24","22502050","","","/mutual-fund/holding-history/6125/1984/"
"NCC Ltd","NCC","500294","Industrials","3567929976","3230959000","1.23","15247564","1772554","13.15","/mutual-fund/holding-history/6125/918/"
"Welspun Enterprises Ltd","WELENT","532553","Industrials","3397775371.6","3196406000","1.22","6712318","","","/mutual-fund/holding-history/6125/1517/"
"Karnataka Bank Ltd","KTKBANK","532652","Financial Services","2899114062.88","2889966000","1.1","14754512","","","/mutual-fund/holding-history/6125/775/"
"Orchid Pharma Ltd","ORCHPHARMA","524372","Healthcare","2440719877.4","2776224000","1.06","3465947","","","/mutual-fund/holding-history/6125/980/"
"Afcons Infrastructure Ltd","AFCONS","544280","Industrials","2832614496.55","2740955000","1.05","6547127","155873","2.44","/mutual-fund/holding-history/6125/2734936/"
"OneSource Specialty Pharma Ltd","","530805","Healthcare","2572520.72","2715346000","1.04","1670468","","","/mutual-fund/holding-history/6125/82741/"
"Zydus Wellness Ltd","ZYDUSWELL","531335","Consumer Defensive","3005508778.8","2711086000","1.03","1535852","","","/mutual-fund/holding-history/6125/1550/"
"Usha Martin Ltd","USHAMART","517146","Basic Materials","2963390350.8","2701420000","1.03","9339396","","","/mutual-fund/holding-history/6125/1456/"
"Jubilant Pharmova Ltd","JUBLPHARMA","530019","Healthcare","3316319921.25","2646425000","1.01","2947185","","","/mutual-fund/holding-history/6125/700/"
"Bata India Ltd","BATAINDIA","500043","Consumer Cyclical","2763995221","2603486000","0.99","2154490","","","/mutual-fund/holding-history/6125/168/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","2445100000","2444500000","0.93","10000000","","","/mutual-fund/holding-history/6125/974/"
"E I D Parry India Ltd","EIDPARRY","500125","Basic Materials","2691485957.4","2237703000","0.85","2737754","","","/mutual-fund/holding-history/6125/361/"
"Strides Pharma Science Ltd","STAR","532531","Healthcare","2373735028","2171274000","0.83","3340936","","","/mutual-fund/holding-history/6125/1291/"
"NBCC India Ltd","NBCC","534309","Industrials","2495412412.48","2066988000","0.79","21714344","21714344","New","/mutual-fund/holding-history/6125/916/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","2242155828.4","2020093000","0.77","15157895","","","/mutual-fund/holding-history/6125/878/"
"India Shelter Finance Corporation Ltd","INDIASHLTR","544044","Financial Services","1872843212.5","1879348000","0.72","2168270","","","/mutual-fund/holding-history/6125/1826519/"
"Anupam Rasayan India Ltd","ANURAS","543275","Basic Materials","2071388759","1812243000","0.69","2086516","","","/mutual-fund/holding-history/6125/445360/"
"Juniper Hotels Ltd","JUNIPER","544129","Consumer Cyclical","1861788935.5","1713492000","0.65","5979730","","","/mutual-fund/holding-history/6125/2049000/"
"JM Financial Ltd","JMFINANCIL","523405","Financial Services","2039127642","1697156000","0.65","16714161","","","/mutual-fund/holding-history/6125/689/"
"Apeejay Surrendra Park Hotels Ltd","PARKHOTELS","544111","Consumer Cyclical","1671021816.64","1604813000","0.61","10610336","","","/mutual-fund/holding-history/6125/1985406/"
"EPL Ltd Ordinary Shares","EPL","500135","Consumer Cyclical","1889180564.28","1494851000","0.57","7899233","","","/mutual-fund/holding-history/6125/393/"
