"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Reliance Industries Ltd","RELIANCE","500325","Energy","28117399692.2","27786906000","9.85","19555849","","","/mutual-fund/holding-history/6125/1127/"
"Jio Financial Services Ltd","JIOFIN","543940","Financial Services","16469474384.1","16049549000","5.69","55990054","3368970","6.4","/mutual-fund/holding-history/6125/1564869/"
"Aegis Logistics Ltd","AEGISLOG","500003","Energy","10220963446.75","10506399000","3.72","13184087","","","/mutual-fund/holding-history/6125/35/"
"Bikaji Foods International Ltd","BIKAJI","543653","Consumer Defensive","8334580573.2","8613675000","3.05","11253822","","","/mutual-fund/holding-history/6125/1110875/"
"RBL Bank Ltd","RBLBANK","540065","Financial Services","8232684176.64","8078373000","2.86","37914176","","","/mutual-fund/holding-history/6125/4685/"
"Poly Medicure Ltd","POLYMED","531768","Healthcare","7024006284.6","7224893000","2.56","3198837","55577","1.77","/mutual-fund/holding-history/6125/1053/"
"HFCL Ltd","HFCL","500183","Technology","6403554761.28","6620483000","2.35","75584924","","","/mutual-fund/holding-history/6125/543/"
"Sun TV Network Ltd","SUNTV","532733","Communication Services","6421044501.9","6493232000","2.3","10312446","","","/mutual-fund/holding-history/6125/1318/"
"Ventive Hospitality Ltd","VENTIVE","544321","Consumer Cyclical","5923263137.8","6450062000","2.29","8315686","","","/mutual-fund/holding-history/6125/2866111/"
"Adani Enterprises Ltd","ADANIENT","512599","Energy","6279334848","6219849000","2.21","2468292","","","/mutual-fund/holding-history/6125/26/"
"Adani Power Ltd","ADANIPOWER","533096","Utilities","6364070374.05","6147582000","2.18","11304859","","","/mutual-fund/holding-history/6125/28/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","6229814540.5","5946472000","2.11","10631990","","","/mutual-fund/holding-history/6125/77534/"
"Bayer CropScience Ltd","BAYERCROP","506285","Basic Materials","5426646591","5601041000","1.99","986394","33771","3.55","/mutual-fund/holding-history/6125/169/"
"Aditya Birla Lifestyle Brands Limited","","","","","5506679000","1.95","32212218","32212218","New",""
"Arvind Ltd","ARVIND","500101","Consumer Cyclical","4899545900.25","5058553000","1.79","14133985","","","/mutual-fund/holding-history/6125/105/"
"Pfizer Ltd","PFIZER","500680","Healthcare","5139033571","4911789000","1.74","875027","","","/mutual-fund/holding-history/6125/1027/"
"NBCC India Ltd","NBCC","534309","Industrials","4553806265.25","4595154000","1.63","37249949","15535605","71.55","/mutual-fund/holding-history/6125/916/"
"Piramal Enterprises Ltd","PEL","500302","Financial Services","4668965918.4","4496131000","1.59","4057148","","","/mutual-fund/holding-history/6125/1019/"
"Sequent Scientific Ltd","SEQUENT","512529","Healthcare","4461031412.5","4316793000","1.53","22502050","","","/mutual-fund/holding-history/6125/1984/"
"Anand Rathi Wealth Ltd","ANANDRATHI","543415","Financial Services","4667248496","4162591000","1.48","2218274","","","/mutual-fund/holding-history/6125/747241/"
"Welspun Corp Ltd","WELCORP","532144","Basic Materials","3951183041.75","4041027000","1.43","4319413","","","/mutual-fund/holding-history/6125/1514/"
"Minda Corp Ltd","MINDACORP","538962","Consumer Cyclical","3908882438.4","3817953000","1.35","7303592","","","/mutual-fund/holding-history/6125/863/"
"NCC Ltd","NCC","500294","Industrials","3589225791.7","3618810000","1.28","15652969","405405","2.66","/mutual-fund/holding-history/6125/918/"
"Jubilant Pharmova Ltd","JUBLPHARMA","530019","Healthcare","3319709184","3459406000","1.23","2947185","","","/mutual-fund/holding-history/6125/700/"
"Welspun Enterprises Ltd","WELENT","532553","Industrials","3529336804.4","3387371000","1.2","6712318","","","/mutual-fund/holding-history/6125/1517/"
"Keystone Realtors Ltd","RUSTOMJEE","543669","Real Estate","3413970004.45","3368571000","1.19","6219091","","","/mutual-fund/holding-history/6125/1131322/"
"Just Dial Ltd","JUSTDIAL","535648","Communication Services","3321429158.25","3347426000","1.19","3767715","","","/mutual-fund/holding-history/6125/704/"
"OneSource Specialty Pharma Ltd","","530805","Healthcare","3758553","3210639000","1.14","1670468","","","/mutual-fund/holding-history/6125/82741/"
"Bata India Ltd","BATAINDIA","500043","Consumer Cyclical","2926994148","3040052000","1.08","2405485","250995","11.65","/mutual-fund/holding-history/6125/168/"
"Zydus Wellness Ltd","ZYDUSWELL","531335","Consumer Defensive","2938699216.8","2993990000","1.06","1535852","","","/mutual-fund/holding-history/6125/1550/"
"Karnataka Bank Ltd","KTKBANK","532652","Financial Services","3034412937.92","2920065000","1.04","14754512","","","/mutual-fund/holding-history/6125/775/"
"Usha Martin Ltd","USHAMART","517146","Basic Materials","2877934877.4","2895213000","1.03","9339396","","","/mutual-fund/holding-history/6125/1456/"
"Afcons Infrastructure Ltd","AFCONS","544280","Industrials","2949739613.1","2809608000","1","6641314","94187","1.44","/mutual-fund/holding-history/6125/2734936/"
"Aditya Birla Fashion and Retail Ltd","ABFRL","535755","Consumer Cyclical","2413661494.74","2765419000","0.98","32212218","","","/mutual-fund/holding-history/6125/1029/"
"Strides Pharma Science Ltd","STAR","532531","Healthcare","2979780818.4","2709833000","0.96","3340936","","","/mutual-fund/holding-history/6125/1291/"
"E I D Parry India Ltd","EIDPARRY","500125","Basic Materials","2646176128.7","2601277000","0.92","2737754","","","/mutual-fund/holding-history/6125/361/"
