"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Reliance Industries Ltd","RELIANCE","500325","Energy","27671526335","29345507000","9.9","19555849","","","/mutual-fund/holding-history/6125/1127/"
"Jio Financial Services Ltd","JIOFIN","543940","Financial Services","17418505799.4","18294750000","6.17","55990054","","","/mutual-fund/holding-history/6125/1564869/"
"Aegis Logistics Ltd","AEGISLOG","500003","Energy","9932231941.45","10228215000","3.45","13184087","","","/mutual-fund/holding-history/6125/35/"
"RBL Bank Ltd","RBLBANK","540065","Financial Services","9726123569.28","9420914000","3.18","37914176","","","/mutual-fund/holding-history/6125/4685/"
"Bikaji Foods International Ltd","BIKAJI","543653","Consumer Defensive","8572598908.5","8333455000","2.81","11253822","","","/mutual-fund/holding-history/6125/1110875/"
"Poly Medicure Ltd","POLYMED","531768","Healthcare","6809789219.1","7335294000","2.48","3298837","100000","3.13","/mutual-fund/holding-history/6125/1053/"
"Adani Power Ltd","ADANIPOWER","533096","Utilities","6720738675.5","6621821000","2.23","11304859","","","/mutual-fund/holding-history/6125/28/"
"HFCL Ltd","HFCL","500183","Technology","6075516191.12","6541119000","2.21","75584924","","","/mutual-fund/holding-history/6125/543/"
"Adani Enterprises Ltd","ADANIENT","512599","Energy","6392876280","6465444000","2.18","2468292","","","/mutual-fund/holding-history/6125/26/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","6378662400.5","6337198000","2.14","10631990","","","/mutual-fund/holding-history/6125/77534/"
"Bayer CropScience Ltd","BAYERCROP","506285","Basic Materials","6189622350","6208857000","2.1","986394","","","/mutual-fund/holding-history/6125/169/"
"Sun TV Network Ltd","SUNTV","532733","Communication Services","6062687003.4","6170968000","2.08","10312446","","","/mutual-fund/holding-history/6125/1318/"
"Ventive Hospitality Ltd","VENTIVE","544321","Consumer Cyclical","6766889482.5","5679198000","1.92","8315686","","","/mutual-fund/holding-history/6125/2866111/"
"Anand Rathi Wealth Ltd","ANANDRATHI","543415","Financial Services","6818942887.2","5561927000","1.88","2575324","357050","16.1","/mutual-fund/holding-history/6125/747241/"
"NBCC India Ltd","NBCC","534309","Industrials","4739305917.71","5066710000","1.71","41286749","4036800","10.84","/mutual-fund/holding-history/6125/916/"
"Aditya Birla Lifestyle Brands Ltd","ABLBL","544403","Consumer Cyclical","4942320607.74","5059895000","1.71","32212218","32212218","New","/mutual-fund/holding-history/6125/3148199/"
"Arvind Ltd","ARVIND","500101","Consumer Cyclical","4802021403.75","4986470000","1.68","14133985","","","/mutual-fund/holding-history/6125/105/"
"Pfizer Ltd","PFIZER","500680","Healthcare","4624080181.5","4967966000","1.68","875027","","","/mutual-fund/holding-history/6125/1027/"
"Capri Global Capital Ltd","CGCL","531595","Financial Services","5199087496.64","4913442000","1.66","28450736","28450736","New","/mutual-fund/holding-history/6125/257/"
"Piramal Enterprises Ltd","PEL","500302","Financial Services","5240618071.6","4642189000","1.57","4057148","","","/mutual-fund/holding-history/6125/1019/"
"Oil & Natural Gas Corp Ltd","ONGC","500312","Energy","4530428367.75","4490344000","1.52","18387225","8387225","83.87","/mutual-fund/holding-history/6125/974/"
"Sequent Scientific Ltd","SEQUENT","512529","Healthcare","4274039377","4337270000","1.46","22502050","","","/mutual-fund/holding-history/6125/1984/"
