"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"SBFC Finance Ltd","SBFC","543959","Financial Services","9537395260.4","9132784000","2.87","89318180","","","/mutual-fund/holding-history/17800/1578900/"
"DOMS Industries Ltd","DOMS","544045","Industrials","7896900000","9061800000","2.85","3300000","","","/mutual-fund/holding-history/17800/1819409/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","8062354258","8095013000","2.55","12323990","","","/mutual-fund/holding-history/17800/555690/"
"Chalet Hotels Ltd","CHALET","542399","Consumer Cyclical","8946433613.7","7691484000","2.42","9716991","","","/mutual-fund/holding-history/17800/127257/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","8822325000","7679590000","2.42","7900000","","","/mutual-fund/holding-history/17800/712/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","8904280000","7678825000","2.42","7700000","","","/mutual-fund/holding-history/17800/764/"
"E I D Parry India Ltd","EIDPARRY","500125","Basic Materials","9185120669.9","7621011000","2.4","9324049","","","/mutual-fund/holding-history/17800/361/"
"City Union Bank Ltd","CUB","532210","Financial Services","8058011000","7356372000","2.31","41665000","","","/mutual-fund/holding-history/17800/295/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","7435348065.6","7322608000","2.3","3928227","","","/mutual-fund/holding-history/17800/1424/"
"Deepak Fertilisers & Petrochemicals Corp Ltd","DEEPAKFERT","500645","Basic Materials","7131034546.2","6733814000","2.12","5261203","102751","1.99","/mutual-fund/holding-history/17800/317/"
"CMS Info Systems Ltd","CMSINFO","543441","Industrials","7275750000","6623250000","2.08","15000000","","","/mutual-fund/holding-history/17800/755507/"
"Aptus Value Housing Finance India Ltd","APTUS","543335","Financial Services","6704631540.5","6224125000","1.96","19532794","","","/mutual-fund/holding-history/17800/623876/"
"V-Guard Industries Ltd","VGUARD","532953","Industrials","6531400000","6131050000","1.93","17000000","","","/mutual-fund/holding-history/17800/1476/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","6671012488.1","6090881000","1.92","6641458","2249157","51.21","/mutual-fund/holding-history/17800/1313/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","6139650000","6059900000","1.91","11000000","","","/mutual-fund/holding-history/17800/157/"
"Finolex Industries Ltd","FINPIPE","500940","Industrials","7775037393.26","6036258000","1.9","34595699","","","/mutual-fund/holding-history/17800/417/"
