"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"SBFC Finance Ltd","SBFC","543959","Financial Services","9696381620.8","10085809000","2.96","89318180","","","/mutual-fund/holding-history/17800/1578900/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","9287240000","8996125000","2.64","7900000","","","/mutual-fund/holding-history/17800/712/"
"Chalet Hotels Ltd","CHALET","542399","Consumer Cyclical","8646178591.8","8917283000","2.62","9716991","","","/mutual-fund/holding-history/17800/127257/"
"E I D Parry India Ltd","EIDPARRY","500125","Basic Materials","9012159560.95","8859245000","2.6","9324049","","","/mutual-fund/holding-history/17800/361/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","8455370000","8674050000","2.55","7700000","","","/mutual-fund/holding-history/17800/764/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","8374767404.5","8432690000","2.48","12323990","","","/mutual-fund/holding-history/17800/555690/"
"City Union Bank Ltd","CUB","532210","Financial Services","8136341200","8153841000","2.4","41665000","","","/mutual-fund/holding-history/17800/295/"
"DOMS Industries Ltd","DOMS","544045","Industrials","7830240000","8077740000","2.37","3300000","","","/mutual-fund/holding-history/17800/1819409/"
"Deepak Fertilisers & Petrochemicals Corp Ltd","DEEPAKFERT","500645","Basic Materials","8273241717.5","7806047000","2.29","5261203","","","/mutual-fund/holding-history/17800/317/"
"Finolex Industries Ltd","FINPIPE","500940","Industrials","7698580898.47","7547398000","2.22","34595699","","","/mutual-fund/holding-history/17800/417/"
"CMS Info Systems Ltd","CMSINFO","543441","Industrials","7331250000","7380750000","2.17","15000000","","","/mutual-fund/holding-history/17800/755507/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","7840348269.3","7330857000","2.15","3928227","","","/mutual-fund/holding-history/17800/1424/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","6596777306.3","6916139000","2.03","6737593","96135","1.45","/mutual-fund/holding-history/17800/1313/"
"Aptus Value Housing Finance India Ltd","APTUS","543335","Financial Services","6280769910.7","6653846000","1.96","19532794","","","/mutual-fund/holding-history/17800/623876/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","6699550000","6493300000","1.91","11000000","","","/mutual-fund/holding-history/17800/157/"
"V-Guard Industries Ltd","VGUARD","532953","Industrials","6397950000","6448950000","1.9","17000000","","","/mutual-fund/holding-history/17800/1476/"
