"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"E I D Parry India Ltd","EIDPARRY","500125","Basic Materials","10886759612.4","10349694000","2.9","9324049","","","/mutual-fund/holding-history/17800/361/"
"SBFC Finance Ltd","SBFC","543959","Financial Services","10544904330.8","10015248000","2.81","89318180","","","/mutual-fund/holding-history/17800/1578900/"
"Kalpataru Projects International Ltd","KPIL","522287","Industrials","9369400000","9694880000","2.72","7900000","","","/mutual-fund/holding-history/17800/712/"
"City Union Bank Ltd","CUB","532210","Financial Services","8804647800","9112552000","2.55","41665000","","","/mutual-fund/holding-history/17800/295/"
"Deepak Fertilisers & Petrochemicals Corp Ltd","DEEPAKFERT","500645","Basic Materials","8403719551.9","8982978000","2.52","5261203","","","/mutual-fund/holding-history/17800/317/"
"Chalet Hotels Ltd","CHALET","542399","Consumer Cyclical","8974127038.05","8954693000","2.51","9716991","","","/mutual-fund/holding-history/17800/127257/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","9250010000","8785700000","2.46","7700000","","","/mutual-fund/holding-history/17800/764/"
"Cholamandalam Financial Holdings Ltd","CHOLAHLDNG","504973","Financial Services","8236706373.6","8508540000","2.38","3928227","","","/mutual-fund/holding-history/17800/1424/"
"DOMS Industries Ltd","DOMS","544045","Industrials","7914390000","8315010000","2.33","3300000","","","/mutual-fund/holding-history/17800/1819409/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","9257165088.5","8301440000","2.33","12323990","","","/mutual-fund/holding-history/17800/555690/"
"Finolex Industries Ltd","FINPIPE","500940","Industrials","6980720144.22","7542900000","2.11","34595699","","","/mutual-fund/holding-history/17800/417/"
"CMS Info Systems Ltd","CMSINFO","543441","Industrials","7748250000","7507500000","2.1","15000000","","","/mutual-fund/holding-history/17800/755507/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","7490100000","7230150000","2.03","1500000","","","/mutual-fund/holding-history/17800/914/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","6791493744","6994969000","1.96","6737593","","","/mutual-fund/holding-history/17800/1313/"
"Ather Energy Ltd","ATHERENERG","544397","Consumer Cyclical","6772675520","6678220000","1.87","20096960","","","/mutual-fund/holding-history/17800/3080909/"
"V-Guard Industries Ltd","VGUARD","532953","Industrials","6786400000","6584100000","1.84","17000000","","","/mutual-fund/holding-history/17800/1476/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","6734750000","6532350000","1.83","11000000","","","/mutual-fund/holding-history/17800/157/"
"Aptus Value Housing Finance India Ltd","APTUS","543335","Financial Services","6768113121","6327649000","1.77","19532794","","","/mutual-fund/holding-history/17800/623876/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","5969174845.4","6250476000","1.75","2132686","","","/mutual-fund/holding-history/17800/1114/"
"Triveni Turbine Ltd","TRITURBINE","533655","Industrials","6508527953.2","6035960000","1.69","9855433","","","/mutual-fund/holding-history/17800/1418/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","5821860000","5397480000","1.51","3300000","","","/mutual-fund/holding-history/17800/209/"
"Elgi Equipments Ltd","ELGIEQUIP","522074","Industrials","5542000000","5364500000","1.5","10000000","","","/mutual-fund/holding-history/17800/371/"
"Dodla Dairy Ltd","DODLA","543306","Consumer Defensive","4889034168.8","5265453000","1.48","3672376","","","/mutual-fund/holding-history/17800/555688/"
"Westlife Foodworld Ltd","WESTLIFE","505533","Consumer Cyclical","5321050000","5215700000","1.46","7000000","","","/mutual-fund/holding-history/17800/2228/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","4820306939.7","4921866000","1.38","4434913","","","/mutual-fund/holding-history/17800/219/"
"Lemon Tree Hotels Ltd","LEMONTREE","541233","Consumer Cyclical","5490077706.33","4889181000","1.37","34895301","","","/mutual-fund/holding-history/17800/81513/"
"Chemplast Sanmar Ltd","CHEMPLASTS","543336","Basic Materials","5109500000","4829550000","1.35","11000000","","","/mutual-fund/holding-history/17800/623875/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","4839810199.5","4769170000","1.34","4939842","","","/mutual-fund/holding-history/17800/238/"
"Esab India Ltd","ESABINDIA","500133","Industrials","5180850000","4641300000","1.3","900000","","","/mutual-fund/holding-history/17800/386/"
"Happiest Minds Technologies Ltd Ordinary Shares","HAPPSTMNDS","543227","Technology","4359250000","4591300000","1.29","7000000","","","/mutual-fund/holding-history/17800/288827/"
"Ahluwalia Contracts (India) Ltd","AHLUCONT","532811","Industrials","4944150000","4572000000","1.28","4500000","","","/mutual-fund/holding-history/17800/43/"
"CSB Bank Ltd Ordinary Shares","CSBBANK","542867","Financial Services","4677200000","4337300000","1.22","11000000","","","/mutual-fund/holding-history/17800/174482/"
"Indian Energy Exchange Ltd","IEX","540750","Financial Services","4141795184.4","4153625000","1.16","21509115","","","/mutual-fund/holding-history/17800/63143/"
"Star Health and Allied Insurance Co Ltd","STARHEALTH","543412","Financial Services","4308740000","4100190000","1.15","9700000","9700000","New","/mutual-fund/holding-history/17800/746520/"
"IndiaMART InterMESH Ltd","INDIAMART","542726","Communication Services","3662375200","3728390000","1.04","1435100","","","/mutual-fund/holding-history/17800/149049/"
"TTK Prestige Ltd","TTKPRESTIG","517506","Consumer Cyclical","3716491446.05","3645262000","1.02","5838491","","","/mutual-fund/holding-history/17800/1421/"
"G R Infraprojects Ltd","GRINFRA","543317","Industrials","3426030000","3559950000","1","2700000","","","/mutual-fund/holding-history/17800/577216/"
"Happy Forgings Ltd","HAPPYFORGE","544057","Industrials","3484845000","3554960000","1","3700000","","","/mutual-fund/holding-history/17800/1833301/"
"HEG Ltd","HEG","509631","Industrials","3747390584.85","3534947000","0.99","6931269","","","/mutual-fund/holding-history/17800/535/"
"ZF Commercial Vehicle Control Systems India Ltd","ZFCVINDIA","533023","Consumer Cyclical","3407430054","3471193000","0.97","259199","","","/mutual-fund/holding-history/17800/1508/"
"Fine Organic Industries Ltd Ordinary Shares","FINEORG","541557","Basic Materials","3569674987.2","3265363000","0.91","666183","","","/mutual-fund/holding-history/17800/92286/"
"Anand Rathi Wealth Ltd","ANANDRATHI","543415","Financial Services","3960465375.6","3233317000","0.91","1497114","","","/mutual-fund/holding-history/17800/747241/"
"Hawkins Cookers Ltd","","508486","Consumer Cyclical","3542639000","3138655000","0.88","370000","","","/mutual-fund/holding-history/17800/2364/"
"Go Fashion (India) Ltd","GOCOLORS","543401","Consumer Cyclical","3094175000","3096800000","0.87","3500000","","","/mutual-fund/holding-history/17800/728986/"
"Electronics Mart India Ltd","EMIL","543626","Consumer Cyclical","2776413000","2940429000","0.82","20100000","","","/mutual-fund/holding-history/17800/1063762/"
"Vedant Fashions Ltd","MANYAVAR","543463","Consumer Cyclical","2782325000","2839375000","0.8","3500000","","","/mutual-fund/holding-history/17800/816269/"
"Hatsun Agro Product Ltd","HATSUN","531531","Consumer Defensive","2820656130.6","2815361000","0.79","2941554","","","/mutual-fund/holding-history/17800/524/"
"Archean Chemical Industries Ltd","ACI","543657","Basic Materials","3041500000","2783440000","0.78","4400000","","","/mutual-fund/holding-history/17800/1121044/"
"KNR Constructions Ltd","KNRCON","532942","Industrials","2552647410","2516940000","0.71","11299900","","","/mutual-fund/holding-history/17800/752/"
"Sansera Engineering Ltd","SANSERA","543358","Consumer Cyclical","2404393563.6","2441556000","0.68","1769628","","","/mutual-fund/holding-history/17800/658068/"
"Thangamayil Jewellery Ltd","THANGAMAYL","533158","Consumer Cyclical","2427926400","2405962000","0.67","1292000","","","/mutual-fund/holding-history/17800/1384/"
"Sheela Foam Ltd","SFL","540203","Consumer Cyclical","2103329000","2281681000","0.64","3140000","","","/mutual-fund/holding-history/17800/4957/"
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","2251372172.8","1960159000","0.55","1813283","","","/mutual-fund/holding-history/17800/709/"
"Afcons Infrastructure Ltd","AFCONS","544280","Industrials","1789259355","1830904000","0.51","4185402","614180","17.2","/mutual-fund/holding-history/17800/2734936/"
"Star Cement Ltd","STARCEMENT","540575","Basic Materials","1757772719.76","1570681000","0.44","7380328","","","/mutual-fund/holding-history/17800/61534/"
"Rajratan Global Wire Ltd","RAJRATAN","517522","Basic Materials","1582585216","1542608000","0.43","3753760","","","/mutual-fund/holding-history/17800/2781/"
"VST Industries Ltd","VSTIND","509966","Consumer Defensive","1403092234.8","1517056000","0.42","4933517","","","/mutual-fund/holding-history/17800/1502/"
"Rossari Biotech Ltd Ordinary Shares","ROSSARI","543213","Basic Materials","1440373907.7","1392385000","0.39","2016342","","","/mutual-fund/holding-history/17800/243466/"
"PVR INOX Ltd","PVRINOX","532689","Communication Services","1443669488.7","1374863000","0.39","1417238","","","/mutual-fund/holding-history/17800/1087/"
"Relaxo Footwears Ltd","RELAXO","530517","Consumer Cyclical","901170000","782910000","0.22","1800000","","","/mutual-fund/holding-history/17800/1125/"
"Ajax Engineering Ltd","AJAXENGG","544356","Industrials","833517167.4","759559000","0.21","1203548","","","/mutual-fund/holding-history/17800/2972769/"
"ACME Solar Holdings Ltd","ACMESOLAR","544283","Utilities","848457844.11","744938000","0.21","2989317","","","/mutual-fund/holding-history/17800/2759890/"
"V-Mart Retail Ltd","VMART","534976","Consumer Cyclical","166007000","187240000","0.05","218000","-437384","-66.74","/mutual-fund/holding-history/17800/1498/"
"CCL Products (India) Ltd","CCL","519600","Consumer Defensive","32256561.6","31889000","0.01","37536","","","/mutual-fund/holding-history/17800/243/"
