"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Sudarshan Chemical Industries Ltd","SUDARSCHEM","506655","Basic Materials","5169619750","4806292000","5.1","4691125","","","/mutual-fund/holding-history/137723/1304/"
"Kirloskar Pneumatic Co Ltd","","505283","Industrials","3916309478.4","3497235000","3.71","3090522","","","/mutual-fund/holding-history/137723/2214/"
"BASF India Ltd","BASF","500042","Basic Materials","3998845070.6","3350710000","3.56","763051","","","/mutual-fund/holding-history/137723/166/"
"IDFC First Bank Ltd","IDFCFIRSTB","539437","Financial Services","3402594000","3241256000","3.44","49950000","","","/mutual-fund/holding-history/137723/1786/"
"Godrej Industries Ltd","GODREJIND","500164","Industrials","3264930912.6","3010770000","3.2","2777719","","","/mutual-fund/holding-history/137723/477/"
"Wonderla Holidays Ltd","WONDERLA","538268","Consumer Cyclical","2814671727.3","2841048000","3.02","4220214","","","/mutual-fund/holding-history/137723/1528/"
"Redington Ltd","REDINGTON","532805","Technology","2930881940.48","2758761000","2.93","11227712","","","/mutual-fund/holding-history/137723/1120/"
"Usha Martin Ltd","USHAMART","517146","Basic Materials","2717401737.6","2481087000","2.63","8577657","3125079","57.31","/mutual-fund/holding-history/137723/1456/"
"Time Technoplast Ltd","TIMETECHNO","532856","Consumer Cyclical","2702131784.5","2397476000","2.55","7101529","","","/mutual-fund/holding-history/137723/1398/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","2437250790.6","2337907000","2.48","1802967","452967","33.55","/mutual-fund/holding-history/137723/1527/"
"SAMHI Hotels Ltd","SAMHI","543984","Consumer Cyclical","2296229186.88","2143457000","2.28","11907432","5954275","100.02","/mutual-fund/holding-history/137723/1679657/"
"CE Info Systems Ltd","MAPMYINDIA","543425","Technology","2256910960.6","2083597000","2.21","1160843","","","/mutual-fund/holding-history/137723/750563/"
"ELANTAS Beck India Ltd","","500123","Basic Materials","1987932000","2024855000","2.15","209256","","","/mutual-fund/holding-history/137723/2035/"
"UTI Asset Management Co Ltd","UTIAMC","543238","Financial Services","2372555050","2003434000","2.13","1965500","","","/mutual-fund/holding-history/137723/305194/"
"Greenply Industries Ltd","GREENPLY","526797","Basic Materials","2124757073.25","1941871000","2.06","6686883","858490","14.73","/mutual-fund/holding-history/137723/494/"
"HealthCare Global Enterprises Ltd","HCG","539787","Healthcare","1786912581.6","1882819000","2","3347532","","","/mutual-fund/holding-history/137723/1978/"
"Krsnaa Diagnostics Ltd","KRSNAA","543328","Healthcare","1619529600","1826448000","1.94","2496000","","","/mutual-fund/holding-history/137723/620545/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","1790285062.5","1796283000","1.91","731475","","","/mutual-fund/holding-history/137723/1090/"
"Shoppers Stop Ltd","SHOPERSTOP","532638","Consumer Cyclical","1727135592","1704074000","1.81","3342304","","","/mutual-fund/holding-history/137723/1225/"
"Graphite India Ltd","GRAPHITE","509488","Industrials","1982289267","1673933000","1.78","3701754","","","/mutual-fund/holding-history/137723/489/"
