"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Sudarshan Chemical Industries Ltd","SUDARSCHEM","506655","Basic Materials","6009331125","5536935000","5.26","4691125","","","/mutual-fund/holding-history/137723/1304/"
"BASF India Ltd","BASF","500042","Basic Materials","3875917554.5","3977480000","3.78","763051","","","/mutual-fund/holding-history/137723/166/"
"Kirloskar Pneumatic Co Ltd","","505283","Industrials","4187657310","3874896000","3.68","3090522","","","/mutual-fund/holding-history/137723/2214/"
"IDFC First Bank Ltd","IDFCFIRSTB","539437","Financial Services","3541455000","3395102000","3.22","49950000","","","/mutual-fund/holding-history/137723/1786/"
"Godrej Industries Ltd","GODREJIND","500164","Industrials","3619923400.8","3290764000","3.13","2777719","","","/mutual-fund/holding-history/137723/477/"
"Sundaram Clayton Ltd","SUNCLAY","544066","Industrials","2495894256.4","2846427000","2.7","1148911","621000","117.63","/mutual-fund/holding-history/137723/1643659/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","3480399562.5","2827113000","2.68","1929375","126408","7.01","/mutual-fund/holding-history/137723/1527/"
"Wonderla Holidays Ltd","WONDERLA","538268","Consumer Cyclical","2783653154.4","2776479000","2.64","4220214","","","/mutual-fund/holding-history/137723/1528/"
"Usha Martin Ltd","USHAMART","517146","Basic Materials","2740125267","2756576000","2.62","8892180","314523","3.67","/mutual-fund/holding-history/137723/1456/"
"Time Technoplast Ltd","TIMETECHNO","532856","Consumer Cyclical","3107274013.95","2684023000","2.55","7101529","","","/mutual-fund/holding-history/137723/1398/"
"UTI Asset Management Co Ltd","UTIAMC","543238","Financial Services","2488912650","2339338000","2.22","1965500","","","/mutual-fund/holding-history/137723/305194/"
"SAMHI Hotels Ltd","SAMHI","543984","Consumer Cyclical","2646783984.96","2291823000","2.18","11907432","","","/mutual-fund/holding-history/137723/1679657/"
"Greenply Industries Ltd","GREENPLY","526797","Basic Materials","2278770165","2265119000","2.15","7000830","313947","4.69","/mutual-fund/holding-history/137723/494/"
"CE Info Systems Ltd","MAPMYINDIA","543425","Technology","2016732543.9","2247624000","2.13","1160843","","","/mutual-fund/holding-history/137723/750563/"
"Anant Raj Ltd","ANANTRAJ","515055","Real Estate","2010872007.9","2042352000","1.94","3639258","","","/mutual-fund/holding-history/137723/78/"
"ELANTAS Beck India Ltd","","500123","Basic Materials","2223805363.2","2034000000","1.93","209256","","","/mutual-fund/holding-history/137723/2035/"
"Graphite India Ltd","GRAPHITE","509488","Industrials","1993209441.3","2021713000","1.92","3701754","","","/mutual-fund/holding-history/137723/489/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","1913171717.5","1851971000","1.76","731195","-280","-0.04","/mutual-fund/holding-history/137723/1090/"
"HealthCare Global Enterprises Ltd","HCG","539787","Healthcare","1840138340.4","1815701000","1.72","3347532","","","/mutual-fund/holding-history/137723/1978/"
"Redington Ltd","REDINGTON","532805","Technology","2061326124","1795297000","1.71","6940492","-4287220","-38.18","/mutual-fund/holding-history/137723/1120/"
"KSB Ltd","KSB","500249","Industrials","1679005912","1739440000","1.65","2055590","","","/mutual-fund/holding-history/137723/768/"
"Shoppers Stop Ltd","SHOPERSTOP","532638","Consumer Cyclical","1659955281.6","1700230000","1.61","3342304","","","/mutual-fund/holding-history/137723/1225/"
"Gujarat Pipavav Port Ltd","GPPL","533248","Industrials","1739600124.95","1695727000","1.61","10859605","","","/mutual-fund/holding-history/137723/487/"
"Kirloskar Ferrous Industries Ltd","","500245","Industrials","1684882806.5","1695592000","1.61","2934058","","","/mutual-fund/holding-history/137723/2056/"
"DCB Bank Ltd","DCBBANK","532772","Financial Services","1621523472.82","1666997000","1.58","11340118","","","/mutual-fund/holding-history/137723/311/"
"Sundrop Brands Ltd","SUNDROP","500215","Consumer Defensive","1561489917.05","1622983000","1.54","1782421","","","/mutual-fund/holding-history/137723/125/"
"Krsnaa Diagnostics Ltd","KRSNAA","543328","Healthcare","1682054400","1597814000","1.52","2496000","","","/mutual-fund/holding-history/137723/620545/"
"Quess Corp Ltd","QUESS","539978","Industrials","1520776991.2","1529797000","1.45","4875848","","","/mutual-fund/holding-history/137723/4595/"
"Honda India Power Products Ltd","HONDAPOWER","522064","Industrials","1472571358.4","1512220000","1.44","521006","3151","0.61","/mutual-fund/holding-history/137723/570/"
"Gokaldas Exports Ltd","GOKEX","532630","Consumer Cyclical","1367406796.4","1490206000","1.42","1503967","","","/mutual-fund/holding-history/137723/480/"
"Keystone Realtors Ltd","RUSTOMJEE","543669","Real Estate","1501007159.8","1481047000","1.41","2734324","","","/mutual-fund/holding-history/137723/1131322/"
"CIE Automotive India Ltd","CIEINDIA","532756","Consumer Cyclical","1456331800.5","1453907000","1.38","3232701","","","/mutual-fund/holding-history/137723/816/"
"PCBL Chemical Ltd","PCBL","506590","Basic Materials","1447380000","1434960000","1.36","3600000","","","/mutual-fund/holding-history/137723/1034/"
"ASK Automotive Ltd","ASKAUTOLTD","544022","Consumer Cyclical","1421448657.3","1424449000","1.35","3158073","","","/mutual-fund/holding-history/137723/1776576/"
"Cohance Lifesciences Ltd","COHANCE","543064","Healthcare","1320361500","1392393000","1.32","1329000","","","/mutual-fund/holding-history/137723/191143/"
"Nippon Life India Asset Management Ltd Ordinary Shares","NAM-INDIA","540767","Financial Services","1357372356.2","1348726000","1.28","1820266","","","/mutual-fund/holding-history/137723/64356/"
"Hikal Ltd","HIKAL","524735","Healthcare","1240470000","1228095000","1.17","3300000","","","/mutual-fund/holding-history/137723/545/"
"Cello World Ltd","CELLO","544012","Consumer Cyclical","1026776655","1042772000","0.99","1692675","","","/mutual-fund/holding-history/137723/1767397/"
"Akzo Nobel India Ltd","AKZOINDIA","500710","Basic Materials","933345554.4","961864000","0.91","287484","","","/mutual-fund/holding-history/137723/52/"
"ACME Solar Holdings Ltd","ACMESOLAR","544283","Utilities","853000411.4","923617000","0.88","3504521","","","/mutual-fund/holding-history/137723/2759890/"
"Transport Corp of India Ltd","TCI","532349","Industrials","875038342","879106000","0.83","782332","","","/mutual-fund/holding-history/137723/1368/"
"Finolex Cables Ltd","FINCABLES","500144","Industrials","860979130","877102000","0.83","900700","","","/mutual-fund/holding-history/137723/416/"
"Bluspring Enterpri","BLUSPRING","544414","","348237408","804409000","0.76","4804600","","","/mutual-fund/holding-history/137723/3135583/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","750960000","793440000","0.75","800000","","","/mutual-fund/holding-history/137723/238/"
"R R Kabel Ltd","RRKABEL","543981","Industrials","727054599.6","768849000","0.73","539278","","","/mutual-fund/holding-history/137723/1681351/"
"VIP Industries Ltd","VIPIND","507880","Consumer Cyclical","896793427.3","765837000","0.73","2117326","","","/mutual-fund/holding-history/137723/1488/"
"Eureka Forbes Ltd","","543482","Consumer Cyclical","661533943.05","719956000","0.68","1121339","","","/mutual-fund/holding-history/137723/850674/"
"Vardhman Special Steels Ltd","VSSL","534392","Basic Materials","604283584.05","683991000","0.65","2378601","","","/mutual-fund/holding-history/137723/1501/"
"Digitide Solutions","","544413","","1150461470","669162000","0.64","4804600","","","/mutual-fund/holding-history/137723/3135582/"
"Alivus Life Sciences Ltd","ALIVUS","543322","Healthcare","639205254","653584000","0.62","627903","","","/mutual-fund/holding-history/137723/606572/"
"Ramco Industries Ltd","RAMCOIND","532369","Industrials","616255028.1","586435000","0.56","2281581","","","/mutual-fund/holding-history/137723/1104/"
"MM Forgings Ltd","MMFL","522241","Industrials","586772463.5","574714000","0.55","1576286","","","/mutual-fund/holding-history/137723/868/"
"Rallis India Ltd","RALLIS","500355","Basic Materials","552442855.25","555585000","0.53","1735877","","","/mutual-fund/holding-history/137723/1101/"
"Eveready Industries India Ltd","EVEREADY","531508","Industrials","574070200.8","547388000","0.52","1772916","","","/mutual-fund/holding-history/137723/398/"
"Netweb Technologies India Ltd","NETWEB","543945","Technology","484708844.4","531765000","0.51","266002","","","/mutual-fund/holding-history/137723/1544933/"
"Allcargo Logistics Ltd","ALLCARGO","532749","Industrials","620858479.04","520748000","0.49","17112968","","","/mutual-fund/holding-history/137723/59/"
"Ganesha Ecosphere Ltd","GANECOS","514167","Consumer Cyclical","507750940.8","516059000","0.49","336348","","","/mutual-fund/holding-history/137723/1563/"
"Natco Pharma Ltd","NATCOPHARM","524816","Healthcare","495447900.4","485043000","0.46","549064","","","/mutual-fund/holding-history/137723/908/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","305825321.75","296410000","0.28","502135","","","/mutual-fund/holding-history/137723/157/"
"Automotive Axles Ltd","AUTOAXLES","505010","Consumer Cyclical","257904851.2","251495000","0.24","143392","","","/mutual-fund/holding-history/137723/135/"
"Transindia Real Estate Ltd","","543955","Real Estate","103365823.68","103799000","0.1","3095712","","","/mutual-fund/holding-history/137723/1611703/"
"POWERGRID Infrastructure Investment Trust Units","PGINVIT","543290","Utilities","90721890","85546000","0.08","1043500","","","/mutual-fund/holding-history/137723/481511/"
