"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Sudarshan Chemical Industries Ltd","SUDARSCHEM","506655","Basic Materials","5882670750","5786034000","5.18","4691125","","","/mutual-fund/holding-history/137723/1304/"
"Kirloskar Pneumatic Co Ltd","","505283","Industrials","4110394260","4379888000","3.92","3090522","","","/mutual-fund/holding-history/137723/2214/"
"IDFC First Bank Ltd","IDFCFIRSTB","539437","Financial Services","4281040000","4297560000","3.85","59000000","9050000","18.12","/mutual-fund/holding-history/137723/1786/"
"BASF India Ltd","BASF","500042","Basic Materials","3860275009","3939251000","3.53","763051","","","/mutual-fund/holding-history/137723/166/"
"Usha Martin Ltd","USHAMART","517146","Basic Materials","4011975305.95","3860848000","3.46","10531501","1639321","18.44","/mutual-fund/holding-history/137723/1456/"
"Godrej Industries Ltd","GODREJIND","500164","Industrials","3180210483.1","3461593000","3.1","2777719","","","/mutual-fund/holding-history/137723/477/"
"Wockhardt Ltd","WOCKPHARMA","532300","Healthcare","3308685187.5","3306949000","2.96","1929375","","","/mutual-fund/holding-history/137723/1527/"
"Time Technoplast Ltd","TIMETECHNO","532856","Consumer Cyclical","3360443522.8","3153079000","2.82","7101529","","","/mutual-fund/holding-history/137723/1398/"
"CE Info Systems Ltd","MAPMYINDIA","543425","Technology","3288310386.9","3127636000","2.8","1777369","616526","53.11","/mutual-fund/holding-history/137723/750563/"
"Wonderla Holidays Ltd","WONDERLA","538268","Consumer Cyclical","2908520000","2740820000","2.46","4300000","79786","1.89","/mutual-fund/holding-history/137723/1528/"
"ELANTAS Beck India Ltd","","500123","Basic Materials","2845881600","2658535000","2.38","209256","","","/mutual-fund/holding-history/137723/2035/"
"SAMHI Hotels Ltd","SAMHI","543984","Consumer Cyclical","2952447764.4","2648094000","2.37","11907432","","","/mutual-fund/holding-history/137723/1679657/"
"Sundaram Clayton Ltd","SUNCLAY","544066","Industrials","2255771857.4","2379854000","2.13","1148911","","","/mutual-fund/holding-history/137723/1643659/"
"Kirloskar Ferrous Industries Ltd","","500245","Industrials","2215035309.9","2221547000","1.99","3830253","896195","30.54","/mutual-fund/holding-history/137723/2056/"
"Greenply Industries Ltd","GREENPLY","526797","Basic Materials","2382382449","2195810000","1.97","7000830","","","/mutual-fund/holding-history/137723/494/"
"Redington Ltd","REDINGTON","532805","Technology","2017136705.1","2103784000","1.88","6466218","-474274","-6.83","/mutual-fund/holding-history/137723/1120/"
"Graphite India Ltd","GRAPHITE","509488","Industrials","2080941011.1","2095933000","1.88","3701754","","","/mutual-fund/holding-history/137723/489/"
"Anant Raj Ltd","ANANTRAJ","515055","Real Estate","2072011542.3","2061458000","1.85","3639258","","","/mutual-fund/holding-history/137723/78/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","1949495380","1920551000","1.72","1989281","1189281","148.66","/mutual-fund/holding-history/137723/238/"
"HealthCare Global Enterprises Ltd","HCG","539787","Healthcare","1884158386.2","1843151000","1.65","3347532","","","/mutual-fund/holding-history/137723/1978/"
"Krsnaa Diagnostics Ltd","KRSNAA","543328","Healthcare","2134953600","1760179000","1.58","2496000","","","/mutual-fund/holding-history/137723/620545/"
