"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Apr, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","1325596187","1265107000","2.99","206447","-17029","-7.62","/mutual-fund/holding-history/356902/853/"
"City Union Bank Ltd","CUB","532210","Financial Services","1013783031.12","926276000","2.19","5246238","310665","6.29","/mutual-fund/holding-history/356902/295/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","854004871.2","908923000","2.14","201018","","","/mutual-fund/holding-history/356902/914/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","940979244.4","904974000","2.14","4148024","299366","7.78","/mutual-fund/holding-history/356902/721/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","891567941","818615000","1.93","1621180","89843","5.87","/mutual-fund/holding-history/356902/77534/"
"Paradeep Phosphates Ltd","PARADEEP","543530","Basic Materials","888837280","800176000","1.89","5555233","","","/mutual-fund/holding-history/356902/895889/"
"India Shelter Finance Corporation Ltd","INDIASHLTR","544044","Financial Services","759212522.55","765750000","1.81","883473","56336","6.81","/mutual-fund/holding-history/356902/1826519/"
"Eris Lifesciences Ltd Registered Shs","ERIS","540596","Healthcare","836101666.2","762566000","1.8","532481","36816","7.43","/mutual-fund/holding-history/356902/54899/"
"Affle 3i Ltd","AFFLE","542752","Communication Services","788943582","744748000","1.76","470169","15000","3.3","/mutual-fund/holding-history/356902/154217/"
"Techno Electric & Engineering Co Ltd","TECHNOE","542141","Industrials","863746874","727888000","1.72","684427","77500","12.77","/mutual-fund/holding-history/356902/118204/"
"Jubilant Ingrevia Ltd Ordinary Shares","JUBLINGREA","543271","Basic Materials","740072592.35","701320000","1.66","1091633","180163","19.77","/mutual-fund/holding-history/356902/450809/"
"KEI Industries Ltd","KEI","517569","Industrials","803258707.5","696635000","1.64","227391","67140","41.9","/mutual-fund/holding-history/356902/729/"
"Zensar Technologies Ltd","ZENSARTECH","504067","Technology","784128717","680508000","1.61","945873","37185","4.09","/mutual-fund/holding-history/356902/1544/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","694491280","671850000","1.59","131408","36913","39.06","/mutual-fund/holding-history/356902/683/"
"KPIT Technologies Ltd","KPITTECH","542651","Technology","709380366.2","670699000","1.58","535018","13000","2.49","/mutual-fund/holding-history/356902/141324/"
"Tips Music Ltd","TIPSMUSIC","532375","Communication Services","702112824","660710000","1.56","1049496","75000","7.7","/mutual-fund/holding-history/356902/1401/"
"Gravita India Ltd","GRAVITA","533282","Industrials","718356784.3","659846000","1.56","376517","50000","15.31","/mutual-fund/holding-history/356902/491/"
"Caplin Point Laboratories Ltd","CAPLIPOINT","524742","Healthcare","761286000","658554000","1.55","350500","20873","6.33","/mutual-fund/holding-history/356902/237/"
"TD Power Systems Ltd","TDPOWERSYS","533553","Industrials","694816978.4","628336000","1.48","1453136","-90987","-5.89","/mutual-fund/holding-history/356902/1373/"
"Ami Organics Ltd","AMIORG","543349","Basic Materials","648003093","626771000","1.48","554370","66500","13.63","/mutual-fund/holding-history/356902/644637/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","642902468","614581000","1.45","597493","","","/mutual-fund/holding-history/356902/219/"
"INOX India Ltd","INOXINDIA","544046","Industrials","754491893.55","608095000","1.44","614983","","","/mutual-fund/holding-history/356902/1830843/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","578293279.2","579750000","1.37","882621","25182","2.94","/mutual-fund/holding-history/356902/555690/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","597722014.5","570314000","1.35","196755","42181","27.29","/mutual-fund/holding-history/356902/67548/"
"Coforge Ltd","COFORGE","532541","Technology","643019078","555165000","1.31","75998","11500","17.83","/mutual-fund/holding-history/356902/942/"
"Subros Ltd","SUBROS","517168","Consumer Cyclical","694500388","548702000","1.29","914960","38949","4.45","/mutual-fund/holding-history/356902/1302/"
"IndiaMART InterMESH Ltd","INDIAMART","542726","Communication Services","541291016","541573000","1.28","234640","16715","7.67","/mutual-fund/holding-history/356902/149049/"
"Sonata Software Ltd","SONATSOFTW","532221","Technology","503193434.4","528453000","1.25","1253596","72000","6.09","/mutual-fund/holding-history/356902/1267/"
"Praj Industries Ltd","PRAJIND","522205","Industrials","541681620.75","510215000","1.2","1106037","32000","2.98","/mutual-fund/holding-history/356902/1061/"
"V-Mart Retail Ltd","VMART","534976","Consumer Cyclical","527956337.6","502920000","1.19","153977","8102","5.55","/mutual-fund/holding-history/356902/1498/"
"Vijaya Diagnostic Centre Ltd","VIJAYA","543350","Healthcare","476791074","500031000","1.18","499781","26459","5.59","/mutual-fund/holding-history/356902/644314/"
"Awfis Space Solutions Ltd","AWFIS","544181","Industrials","517358460.6","499695000","1.18","779859","","","/mutual-fund/holding-history/356902/2278178/"
"Godrej Agrovet Ltd Ordinary Shares","GODREJAGRO","540743","Consumer Defensive","482662458","493719000","1.17","640986","","","/mutual-fund/holding-history/356902/62812/"
"Great Eastern Shipping Co Ltd","GESHIP","500620","Industrials","525346777.6","489167000","1.15","562229","60000","11.95","/mutual-fund/holding-history/356902/452/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","441561260.8","485900000","1.15","284768","-130792","-31.47","/mutual-fund/holding-history/356902/209/"
"Nesco Ltd","NESCO","505355","Industrials","483447422.85","482016000","1.14","511287","122002","31.34","/mutual-fund/holding-history/356902/929/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","464791816","469395000","1.11","372728","","","/mutual-fund/holding-history/356902/1521/"
"Computer Age Management Services Ltd Ordinary Shares","CAMS","543232","Technology","475114055","468080000","1.1","119827","-50703","-29.73","/mutual-fund/holding-history/356902/297909/"
"Marksans Pharma Ltd","MARKSANS","524404","Healthcare","530928604.8","461400000","1.09","2103104","-483797","-18.7","/mutual-fund/holding-history/356902/841/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","447214795.3","457280000","1.08","447349","","","/mutual-fund/holding-history/356902/238/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","417997587","454190000","1.07","27607","-3000","-9.8","/mutual-fund/holding-history/356902/60393/"
"TeamLease Services Ltd","TEAMLEASE","539658","Industrials","467487770.2","450936000","1.06","238502","7875","3.41","/mutual-fund/holding-history/356902/1955/"
"eClerx Services Ltd","ECLERX","532927","Technology","597925704","440751000","1.04","175242","72144","69.98","/mutual-fund/holding-history/356902/356/"
"Grindwell Norton Ltd","GRINDWELL","506076","Industrials","467537260","440645000","1.04","261340","12500","5.02","/mutual-fund/holding-history/356902/496/"
"PSP Projects Ltd","PSPPROJECT","540544","Industrials","433784482.2","433546000","1.02","680553","","","/mutual-fund/holding-history/356902/54332/"
"AAVAS Financiers Ltd","AAVAS","541988","Financial Services","394308737.2","430830000","1.02","221746","221746","New","/mutual-fund/holding-history/356902/106807/"
"Heritage Foods Ltd","HERITGFOOD","519552","Consumer Defensive","445297682.8","429461000","1.01","1099772","35000","3.29","/mutual-fund/holding-history/356902/539/"
"Metropolis Healthcare Ltd","METROPOLIS","542650","Healthcare","417812319.8","425719000","1","250202","","","/mutual-fund/holding-history/356902/139598/"
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","519987006.8","409244000","0.97","508694","30000","6.27","/mutual-fund/holding-history/356902/709/"
"Timken India Ltd","TIMKEN","522113","Industrials","520328130","408746000","0.96","166665","","","/mutual-fund/holding-history/356902/1399/"
"NIIT Learning Systems Ltd","NIITMTS","543952","Consumer Defensive","375061890","404624000","0.95","1080870","","","/mutual-fund/holding-history/356902/1603230/"
"CIE Automotive India Ltd","CIEINDIA","532756","Consumer Cyclical","442431933","397401000","0.94","978940","","","/mutual-fund/holding-history/356902/816/"
"Rossari Biotech Ltd Ordinary Shares","ROSSARI","543213","Basic Materials","401624910.75","393083000","0.93","597345","277865","86.97","/mutual-fund/holding-history/356902/243466/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","421351110","391116000","0.92","359300","56643","18.72","/mutual-fund/holding-history/356902/100478/"
"Fine Organic Industries Ltd Ordinary Shares","FINEORG","541557","Basic Materials","435312834","382498000","0.9","93777","-6000","-6.01","/mutual-fund/holding-history/356902/92286/"
"Aditya Birla Capital Ltd","ABCAPITAL","540691","Financial Services","425534993.4","378382000","0.89","1926980","1926980","New","/mutual-fund/holding-history/356902/61684/"
"Metro Brands Ltd","METROBRAND","543426","Consumer Cyclical","406436016.8","362798000","0.86","339064","","","/mutual-fund/holding-history/356902/750564/"
"Blue Jet Healthcare Ltd","BLUEJET","544009","Healthcare","427635109.65","359918000","0.85","506107","","","/mutual-fund/holding-history/356902/1761328/"
"Johnson Controls - Hitachi Air Conditioning India Ltd","JCHAC","523398","Consumer Cyclical","350171701","356579000","0.84","202763","","","/mutual-fund/holding-history/356902/563/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","387345424.8","356080000","0.84","132648","","","/mutual-fund/holding-history/356902/1114/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","319482548","354928000","0.84","296366","296366","New","/mutual-fund/holding-history/356902/1253626/"
"Pitti Engineering Ltd","PITTIENG","513519","Industrials","369114196.55","345605000","0.82","365333","","","/mutual-fund/holding-history/356902/1045/"
"360 One Wam Ltd Ordinary Shares","360ONE","542772","Financial Services","338713031.25","331091000","0.78","335775","-456052","-57.59","/mutual-fund/holding-history/356902/166089/"
"Aarti Industries Ltd","AARTIIND","524208","Basic Materials","377471683.7","330616000","0.78","784846","","","/mutual-fund/holding-history/356902/14/"
"Kewal Kiran Clothing Ltd","KKCL","532732","Consumer Cyclical","323113662.9","321280000","0.76","733266","42673","6.18","/mutual-fund/holding-history/356902/749/"
"Sheela Foam Ltd","SFL","540203","Consumer Cyclical","316279355","316722000","0.75","491575","","","/mutual-fund/holding-history/356902/4957/"
"Clean Science and Technology Ltd","CLEAN","543318","Basic Materials","376300000","311322000","0.73","265000","265000","New","/mutual-fund/holding-history/356902/580869/"
"Concord Biotech Ltd","CONCORDBIO","543960","Healthcare","312321980.7","309207000","0.73","203613","-45838","-18.38","/mutual-fund/holding-history/356902/1587026/"
"Ujjivan Small Finance Bank Ltd Ordinary Shares","UJJIVANSFB","542904","Financial Services","324731596.86","307015000","0.72","7201854","7201854","New","/mutual-fund/holding-history/356902/175415/"
"Cera Sanitaryware Ltd","CERA","532443","Industrials","362802678","300067000","0.71","56014","","","/mutual-fund/holding-history/356902/254/"
"Equitas Small Finance Bank Ltd Ordinary Shares","EQUITASBNK","543243","Financial Services","285264732.42","298460000","0.7","4457958","-3791499","-45.96","/mutual-fund/holding-history/356902/325199/"
"Firstsource Solutions Ltd","FSL","532809","Technology","336569758.8","296533000","0.7","870364","-362400","-29.4","/mutual-fund/holding-history/356902/428/"
"Avanti Feeds Ltd","AVANTIFEED","512573","Consumer Defensive","278925020","286514000","0.68","327800","-648099","-66.41","/mutual-fund/holding-history/356902/138/"
"RHI Magnesita India Ltd","RHIM","534076","Industrials","298794735","284726000","0.67","645345","","","/mutual-fund/holding-history/356902/989/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","282112888.6","283127000","0.67","115294","","","/mutual-fund/holding-history/356902/1090/"
"Indo Count Industries Ltd","ICIL","521016","Consumer Cyclical","297904833.6","282157000","0.67","926321","-687240","-42.59","/mutual-fund/holding-history/356902/585/"
"Indian Energy Exchange Ltd","IEX","540750","Financial Services","250061545.16","238616000","0.56","1253567","1253567","New","/mutual-fund/holding-history/356902/63143/"
"Orchid Pharma Ltd","ORCHPHARMA","524372","Healthcare","199543520.4","226973000","0.54","283362","","","/mutual-fund/holding-history/356902/980/"
"La Opala RG Ltd","LAOPALA","526947","Consumer Cyclical","213573915","198975000","0.47","878905","","","/mutual-fund/holding-history/356902/784/"
"Route Mobile Ltd Ordinary Shares","ROUTE","543228","Communication Services","192824398","192309000","0.45","202228","","","/mutual-fund/holding-history/356902/290299/"
"National Aluminium Co Ltd","NATIONALUM","532234","Basic Materials","212123370.16","182488000","0.43","1166282","-1700000","-59.31","/mutual-fund/holding-history/356902/911/"
"Raymond Lifestyle Ltd","RAYMONDLSL","544240","Consumer Cyclical","171373443.9","152104000","0.36","158079","-6667","-4.05","/mutual-fund/holding-history/356902/2613901/"
"Greenpanel Industries Ltd Ordinary Shares","GREENPANEL","542857","Basic Materials","170817284.35","152044000","0.36","654347","","","/mutual-fund/holding-history/356902/170350/"
"Sai Silks (Kalamandir) Ltd","KALAMANDIR","543989","Consumer Cyclical","133357575.2","137767000","0.33","1127855","","","/mutual-fund/holding-history/356902/1698176/"
"PNC Infratech Ltd","PNCINFRA","539150","Industrials","113199993.5","102242000","0.24","385165","385165","New","/mutual-fund/holding-history/356902/1717/"
"Arman Financial Services Ltd","ARMANFIN","531179","Financial Services","97792892.4","101094000","0.24","64858","4161","6.86","/mutual-fund/holding-history/356902/3489/"
"Safari Industries (India) Ltd","SAFARI","523025","Consumer Cyclical","96223675.6","83713000","0.2","41771","","","/mutual-fund/holding-history/356902/2912/"
